Step; State; Reward
1; [[0.10876 3.775   0.      0.0724  0.      0.      3.525   3.492   0.0724
22; [[0.3494 8.53   0.     0.3494 0.     0.     9.44   9.47   0.3494 4.95
  4.95   0.     0.     0.     0.     0.    ]]; [841.0986]
23; [[3.1274e-01 8.7031e+00 1.1444e-04 3.1128e-01 1.1444e-04 1.1444e-04
  9.3750e+00 9.3984e+00 3.1128e-01 2.3496e+00 2.3496e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [731.8205]
24; [[0.4219 9.805  0.     0.4214 0.     0.     9.45   9.45   0.4214 3.197
  3.197  0.     0.     0.     0.     0.    ]]; [802.2645]
25; [[2.6733e-01 1.2695e+01 1.4305e-04 2.9126e-01 1.4305e-04 1.4305e-04
  1.1680e+01 1.1703e+01 2.9102e-01 2.4375e+00 2.4375e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1111.8921]
26; [[0.3167 9.81   0.     0.3228 0.     0.     9.35   9.37   0.3228 1.587
  1.587  0.     0.     0.     0.     0.    ]]; [720.26825]
27; [[1.8604e-01 1.0727e+01 1.1444e-04 1.8591e-01 1.1444e-04 1.1444e-04
  9.3281e+00 9.3359e+00 1.8591e-01 1.3936e+00 1.3936e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [717.70264]
28; [[ 0.2168  6.883   0.      0.217   0.      0.     10.44   10.414   0.217
   1.724   1.724   0.      0.      0.      0.      0.    ]]; [780.0007]
29; [[ 0.2086 11.64    0.      0.2075  0.      0.      9.4     9.45    0.2075
   6.098   6.098   0.      0.      0.      0.      0.    ]]; [930.9883]
30; [[ 0.5464 14.57    0.      0.5464  0.      0.      9.47    9.49    0.547
   6.574   6.574   0.      0.      0.      0.      0.    ]]; [1048.0251]
31; [[ 0.559  10.84    0.      0.558   0.      0.      9.48   11.88    0.6978
   8.37    8.37    0.      0.      0.      0.      0.    ]]; [1354.3595]
32; [[0.2222 9.62   0.     0.2222 0.     0.     9.4    9.46   0.2223 6.082
  6.082  0.     0.     0.     0.     0.    ]]; [893.7855]
33; [[0.207 9.77  0.    0.207 0.    0.    9.414 9.48  0.207 6.996 6.996 0.
  0.    0.    0.    0.   ]]; [932.92004]
34; [[3.1543e-01 9.7734e+00 1.1444e-04 3.3008e-01 1.1444e-04 1.1444e-04
  9.3906e+00 9.4531e+00 3.3008e-01 6.6641e+00 6.6641e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [927.05396]
35; [[ 0.543 10.07   0.     0.543  0.     0.     9.48   9.484  0.543  6.37
   6.37   0.     0.     0.     0.     0.   ]]; [947.81616]
36; [[4.0649e-01 1.1336e+01 1.4305e-04 4.0649e-01 1.4305e-04 1.4305e-04
  1.1859e+01 1.1867e+01 4.0649e-01 8.4609e+00 8.4609e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1411.5975]
37; [[ 0.2585 12.37    0.      0.259   0.      0.     11.74   11.83    0.259
   8.36    8.36    0.      0.      0.      0.      0.    ]]; [1406.1771]
38; [[2.0862e-01 1.1719e+01 1.1444e-04 2.0752e-01 1.1444e-04 1.1444e-04
  9.4062e+00 9.4844e+00 2.0752e-01 7.2383e+00 7.2383e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [980.60297]
39; [[ 0.554  14.484   0.      0.554   0.      0.      9.49    9.5     0.5547
   7.      7.      0.      0.      0.      0.      0.    ]]; [1065.367]
40; [[5.4736e-01 1.0016e+01 1.1444e-04 5.4736e-01 1.1444e-04 1.1444e-04
  9.4844e+00 9.4922e+00 5.4736e-01 6.5781e+00 6.5781e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [956.6652]
41; [[ 0.3264 10.12    0.      0.3264  0.      0.      9.46    9.49    0.3264
   6.08    6.08    0.      0.      0.      0.      0.    ]]; [917.34937]
42; [[2.1204e-01 9.9375e+00 1.1444e-04 2.2058e-01 1.1444e-04 1.1444e-04
  9.4141e+00 9.4766e+00 2.2058e-01 6.7656e+00 6.7656e+00 1.1444e-04
