Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   786 Kbits/sec    0   28.3 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec   49    201 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    6    201 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    2    201 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0    201 KBytes       
[  4]  44.00-45.00  sec   318 KBytes  2.61 Mbits/sec    0    208 KBytes       
[  4]  45.00-46.00  sec  63.6 KBytes   522 Kbits/sec    0    212 KBytes       
[  4]  46.00-47.01  sec  63.6 KBytes   518 Kbits/sec    0    214 KBytes       
[  4]  47.01-48.16  sec   127 KBytes   903 Kbits/sec    0    232 KBytes       
[  4]  48.16-49.01  sec  63.6 KBytes   620 Kbits/sec    0    232 KBytes       
[  4]  49.01-50.01  sec  63.6 KBytes   521 Kbits/sec    0    236 KBytes       
[  4]  50.01-51.01  sec   127 KBytes  1.04 Mbits/sec    0    242 KBytes       
[  4]  51.01-52.07  sec   127 KBytes   977 Kbits/sec    0    249 KBytes       
[  4]  52.07-53.07  sec   127 KBytes  1.05 Mbits/sec    0    259 KBytes       
[  4]  53.07-54.01  sec  0.00 Bytes  0.00 bits/sec    0    264 KBytes       
[  4]  54.01-55.01  sec   255 KBytes  2.08 Mbits/sec    3    324 KBytes       
[  4]  55.01-56.01  sec  0.00 Bytes  0.00 bits/sec    0    324 KBytes       
[  4]  56.01-57.01  sec   318 KBytes  2.61 Mbits/sec    0    328 KBytes       
[  4]  57.01-58.01  sec  63.6 KBytes   521 Kbits/sec    3    328 KBytes       
[  4]  58.01-59.00  sec   255 KBytes  2.09 Mbits/sec    0    329 KBytes       
[  4]  59.00-60.00  sec  63.6 KBytes   521 Kbits/sec    0    331 KBytes       
[  4]  60.00-61.00  sec   382 KBytes  3.13 Mbits/sec    0    348 KBytes       
[  4]  61.00-62.00  sec  63.6 KBytes   521 Kbits/sec    0    352 KBytes       
[  4]  62.00-63.00  sec   636 KBytes  5.21 Mbits/sec    0    402 KBytes       
[  4]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec    0    406 KBytes       
[  4]  64.00-65.00  sec   954 KBytes  7.82 Mbits/sec    0    503 KBytes       
[  4]  65.00-66.00  sec  1.12 MBytes  9.38 Mbits/sec    0    629 KBytes       
[  4]  66.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0    629 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-66.00  sec  10.2 MBytes  1.30 Mbits/sec  198             sender
[  4]   0.00-66.00  sec  7.47 MBytes   950 Kbits/sec                  receiver

iperf Done.
