Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  82.0 KBytes   666 Kbits/sec    1   14.1 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    153 KBytes       
[  4]  29.00-30.01  sec   318 KBytes  2.59 Mbits/sec    0    167 KBytes       
[  4]  30.01-31.00  sec  0.00 Bytes  0.00 bits/sec    0    167 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    167 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    167 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.56 Mbits/sec    0    180 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    180 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    180 KBytes       
[  4]  36.00-37.01  sec   191 KBytes  1.56 Mbits/sec    0    212 KBytes       
[  4]  37.01-38.00  sec   191 KBytes  1.57 Mbits/sec    0    252 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    252 KBytes       
[  4]  39.00-40.00  sec   445 KBytes  3.65 Mbits/sec    0    329 KBytes       
[  4]  40.00-41.00  sec   509 KBytes  4.17 Mbits/sec    0    396 KBytes       
[  4]  41.00-42.00  sec   636 KBytes  5.21 Mbits/sec    0    472 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0    499 KBytes       
[  4]  43.00-44.00  sec  1.24 MBytes  10.4 Mbits/sec    0    662 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0    662 KBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec   81    468 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    468 KBytes       
[  4]  47.00-48.01  sec   509 KBytes  4.15 Mbits/sec    8    468 KBytes       
[  4]  48.01-49.00  sec   127 KBytes  1.05 Mbits/sec    0    468 KBytes       
[  4]  49.00-50.01  sec  0.00 Bytes  0.00 bits/sec    0    468 KBytes       
[  4]  50.01-51.00  sec   954 KBytes  7.89 Mbits/sec    0    533 KBytes       
[  4]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    533 KBytes       
[  4]  52.00-53.01  sec   509 KBytes  4.16 Mbits/sec    0    605 KBytes       
[  4]  53.01-54.00  sec  0.00 Bytes  0.00 bits/sec    0    605 KBytes       
[  4]  54.00-55.00  sec   573 KBytes  4.69 Mbits/sec    0    645 KBytes       
[  4]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    0    645 KBytes       
[  4]  56.00-57.00  sec   445 KBytes  3.63 Mbits/sec    0    658 KBytes       
[  4]  57.00-58.01  sec   191 KBytes  1.56 Mbits/sec    0    660 KBytes       
[  4]  58.01-59.01  sec   318 KBytes  2.61 Mbits/sec    0    669 KBytes       
[  4]  59.01-60.00  sec   382 KBytes  3.14 Mbits/sec    0    677 KBytes       
[  4]  60.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0    677 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  10.2 MBytes  1.43 Mbits/sec  136             sender
[  4]   0.00-60.00  sec  7.25 MBytes  1.01 Mbits/sec                  receiver

iperf Done.
