Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-2.88   sec  82.0 KBytes   233 Kbits/sec    1   14.1 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    1   11.3 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   11.3 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    2   9.90 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    2   9.90 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  4]  40.00-41.00  sec   410 KBytes  3.36 Mbits/sec    1   22.6 KBytes       
[  4]  41.00-42.00  sec   257 KBytes  2.11 Mbits/sec    0   31.1 KBytes       
[  4]  42.00-43.00  sec   255 KBytes  2.09 Mbits/sec    0   35.4 KBytes       
[  4]  43.00-44.00  sec   191 KBytes  1.56 Mbits/sec    0   39.6 KBytes       
[  4]  44.00-45.00  sec   318 KBytes  2.61 Mbits/sec    0   65.0 KBytes       
[  4]  45.00-46.00  sec   445 KBytes  3.65 Mbits/sec    0    107 KBytes       
[  4]  46.00-47.00  sec   573 KBytes  4.69 Mbits/sec    0    161 KBytes       
[  4]  47.00-48.00  sec   764 KBytes  6.26 Mbits/sec    0    238 KBytes       
[  4]  48.00-49.00  sec   827 KBytes  6.77 Mbits/sec    0    324 KBytes       
[  4]  49.00-50.00  sec  1.12 MBytes  9.39 Mbits/sec    0    451 KBytes       
[  4]  50.00-51.00  sec  1018 KBytes  8.34 Mbits/sec    0    574 KBytes       
[  4]  51.00-52.00  sec  1.06 MBytes  8.86 Mbits/sec    0    708 KBytes       
[  4]  52.00-53.00  sec   509 KBytes  4.17 Mbits/sec   78    583 KBytes       
[  4]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec   99    544 KBytes       
[  4]  54.00-55.00  sec   382 KBytes  3.13 Mbits/sec   46    544 KBytes       
[  4]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec   30    544 KBytes       
[  4]  56.00-57.00  sec   382 KBytes  3.13 Mbits/sec   24    387 KBytes       
[  4]  57.00-58.00  sec  1.25 MBytes  10.5 Mbits/sec    0    382 KBytes       
[  4]  58.00-59.00  sec   693 KBytes  5.68 Mbits/sec    0    404 KBytes       
[  4]  59.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0    404 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-59.00  sec  10.5 MBytes  1.49 Mbits/sec  300             sender
[  4]   0.00-59.00  sec  6.54 MBytes   930 Kbits/sec                  receiver

iperf Done.
