switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
5,1,2,800,2,1,5,2135214,121897724540,40,5,0,1
1,1,2,800,2,1,3,2135214,121897724540,40,5,0,1
6,1,2,800,2,1,1,2135213,121897724466,40,5,0,1
5,1,2,800,2,1,5,2252740,128606976664,42,5,0,1
1,1,2,800,2,1,3,2252740,128606976664,42,5,0,1
6,1,2,800,2,1,1,2252739,128606976590,42,5,0,1
5,1,2,800,2,1,5,2364600,134992691456,44,5,0,1
1,1,2,800,2,1,3,2364600,134992691456,44,5,0,1
6,1,2,800,2,1,1,2364599,134992691382,44,5,0,1
5,1,2,800,2,1,5,2477987,141465082230,46,5,0,1
1,1,2,800,2,1,3,2477987,141465082230,46,5,0,1
6,1,2,800,2,1,1,2477986,141465082156,46,5,0,1
5,1,2,800,2,1,5,2589173,147811829122,48,5,0,1
1,1,2,800,2,1,3,2589173,147811829122,48,5,0,1
6,1,2,800,2,1,1,2589172,147811829048,48,5,0,1
5,1,2,800,2,1,5,2756174,157344828244,51,5,0,1
1,1,2,800,2,1,3,2756174,157344828244,51,5,0,1
6,1,2,800,2,1,1,2756173,157344828170,51,5,0,1
5,1,2,800,2,1,5,2812938,160584808868,53,5,0,1
1,1,2,800,2,1,3,2812938,160584808868,53,5,0,1
6,1,2,800,2,1,1,2812937,160584808794,53,5,0,1
5,1,2,800,2,1,5,2986386,170485915436,55,5,0,1
1,1,2,800,2,1,3,2986386,170485915436,55,5,0,1
6,1,2,800,2,1,1,2986385,170485915362,55,5,0,1
5,1,2,800,2,1,5,3104257,177214429178,57,5,0,1
1,1,2,800,2,1,3,3104257,177214429178,57,5,0,1
6,1,2,800,2,1,1,3104256,177214429104,57,5,0,1
5,1,2,800,2,1,5,3214691,183518384918,59,5,0,1
1,1,2,800,2,1,3,3214691,183518384918,59,5,0,1
6,1,2,800,2,1,1,3214690,183518384844,59,5,0,1
5,1,2,800,2,1,5,3328419,190010538238,61,5,0,1
1,1,2,800,2,1,3,3328419,190010538238,61,5,0,1
6,1,2,800,2,1,1,3328418,190010538164,61,5,0,1
5,1,2,800,2,1,5,3442051,196497686454,63,5,0,1
1,1,2,800,2,1,3,3442051,196497686454,63,5,0,1
6,1,2,800,2,1,1,3442050,196497686380,63,5,0,1
5,1,2,800,2,1,5,3543488,202293176736,65,5,0,1
1,1,2,800,2,1,3,3543488,202293176736,65,5,0,1
6,1,2,800,2,1,1,3543487,202293176662,65,5,0,1
5,1,2,800,2,1,5,3636584,207607620136,67,5,0,1
1,1,2,800,2,1,3,3636584,207607620136,67,5,0,1
6,1,2,800,2,1,1,3636583,207607620062,67,5,0,1
5,1,2,800,2,1,5,3742451,213653990718,69,5,0,1
1,1,2,800,2,1,3,3742451,213653990718,69,5,0,1
6,1,2,800,2,1,1,3742450,213653990644,69,5,0,1
5,1,2,800,2,1,5,3839672,219204854872,71,5,0,1
1,1,2,800,2,1,3,3839672,219204854872,71,5,0,1
6,1,2,800,2,1,1,3839671,219204854798,71,5,0,1
5,1,2,800,2,1,5,3911415,223306516798,73,5,0,1
1,1,2,800,2,1,3,3911415,223306516798,73,5,0,1
6,1,2,800,2,1,1,3911414,223306516724,73,5,0,1
5,1,2,800,2,1,5,3997031,228195450038,75,5,0,1
