Step; State; Reward
82; [[4.419e-01 1.084e+01 1.431e-04 4.419e-01 1.431e-04 1.431e-04 1.179e+01  1.180e+01 4.419e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04  1.431e-04 1.431e-04]]; [1002.12805]
83; [[4.419e-01 1.084e+01 1.431e-04 4.419e-01 1.431e-04 1.431e-04 1.179e+01  1.180e+01 4.419e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04  1.431e-04 1.431e-04]]; [0.]
84; [[ 0.2534 11.79    0.      0.2534  0.      0.     11.66   11.66    0.2534   0.      0.      0.      0.      0.      0.      0.    ]]; [991.13]
85; [[ 0.2534 11.79    0.      0.2534  0.      0.     11.66   11.66    0.2534   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
86; [[2.0227e-01 1.0062e+01 1.1444e-04 2.0215e-01 1.1444e-04 1.1444e-04  9.2891e+00 9.2891e+00 2.0215e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [667.2745]
87; [[ 0.4849 12.484   0.      0.4846  0.      0.     11.734  11.734   0.4846   0.      0.      0.      0.      0.      0.      0.    ]]; [1037.7059]
88; [[2.5879e-01 8.9844e+00 1.1444e-04 2.5903e-01 1.1444e-04 1.1444e-04  9.3047e+00 9.3281e+00 2.5903e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [654.3637]
89; [[ 0.3972 11.23    0.      0.3972  0.      0.     11.61   11.62    0.3972   0.      0.      0.      0.      0.      0.      0.    ]]; [983.94183]
90; [[3.2861e-01 1.0641e+01 1.1444e-04 3.2861e-01 1.1444e-04 1.1444e-04  9.2969e+00 9.2734e+00 3.2861e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [686.0882]
91; [[ 0.2307 11.29    0.      0.2306  0.      0.     11.484  11.484   0.2306   0.      0.      0.      0.      0.      0.      0.    ]]; [954.63403]
92; [[2.507e-01 1.283e+01 1.431e-04 2.510e-01 1.431e-04 1.431e-04 1.135e+01  1.135e+01 2.512e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04  1.431e-04 1.431e-04]]; [975.3717]
93; [[0.2029 9.79   0.     0.2026 0.     0.     9.305  9.305  0.2026 0.  0.     0.     0.     0.     0.     0.    ]]; [663.9566]
94; [[0.2029 9.79   0.     0.2026 0.     0.     9.305  9.305  0.2026 0.  0.     0.     0.     0.     0.     0.    ]]; [0.]
95; [[3.0029e-01 7.4258e+00 1.1444e-04 3.0005e-01 1.1444e-04 1.1444e-04  8.1094e+00 8.1406e+00 3.0005e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [509.6437]
96; [[3.0029e-01 7.4258e+00 1.1444e-04 3.0005e-01 1.1444e-04 1.1444e-04  8.1094e+00 8.1406e+00 3.0005e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
97; [[ 0.2214 12.49    0.      0.2213  0.      0.     11.22   11.21    0.2213   0.      0.      0.      0.      0.      0.      0.    ]]; [947.27295]
98; [[4.0723e-01 7.1172e+00 1.1444e-04 4.0698e-01 1.1444e-04 1.1444e-04  9.3984e+00 9.3984e+00 4.0698e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [635.39874]
99; [[ 0.1647 12.35    0.      0.165   0.      0.      9.26    9.26    0.165   0.      0.      0.      0.      0.      0.      0.    ]]; [704.37415]
100; [[ 0.1647 12.35    0.      0.165   0.      0.      9.26    9.26    0.165   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
101; [[0.2024 9.92   0.     0.2023 0.     0.     9.3    9.29   0.2023 0.  0.     0.     0.     0.     0.     0.    ]]; [664.2925]
