Step; State; Reward
1; [[0.154   4.746   0.      0.09644 0.      0.      4.234   4.195   0.0963
  0.    1.903 0.    0.   ]]; [1346.9268]
17; [[2.145 9.586 0.    2.143 1.768 0.    7.688 9.45  2.14  7.688 9.45  0.
  0.    1.768 0.    0.   ]]; [1317.9729]
18; [[ 2.781 11.9    0.     2.799  2.318  0.     9.51  11.85   2.799  9.52
  11.85   0.     0.     2.324  0.     0.   ]]; [2067.6692]
19; [[2.078 9.43  0.    2.074 1.746 0.    7.84  9.33  2.074 7.59  9.33  0.
  0.    1.746 0.    0.   ]]; [1282.6393]
20; [[2.521e+00 1.223e+01 1.431e-04 2.527e+00 2.221e+00 1.431e-04 9.250e+00
  1.179e+01 2.527e+00 9.555e+00 1.179e+01 1.431e-04 1.431e-04 2.221e+00
  1.431e-04 1.431e-04]]; [1993.3744]
21; [[ 2.46  12.2    0.     2.46   2.076  0.     9.73  11.805  2.46   9.73
  11.805  0.     0.     2.076  0.     0.   ]]; [1991.7745]
22; [[2.0078e+00 9.4844e+00 1.1444e-04 2.0078e+00 1.6914e+00 2.4033e-04
  7.7656e+00 9.4531e+00 2.0078e+00 7.7656e+00 9.4531e+00 1.1444e-04
  1.1444e-04 1.6914e+00 1.1444e-04 1.1444e-04]]; [1291.4672]
23; [[1.984 9.62  0.    1.983 1.617 0.    7.86  9.484 1.983 7.867 9.484 0.
  0.    1.617 0.    0.   ]]; [1296.1603]
24; [[2.0859e+00 9.2031e+00 1.1444e-04 2.0859e+00 1.7354e+00 1.1444e-04
  7.6953e+00 9.4297e+00 2.0859e+00 7.6953e+00 9.4297e+00 1.1444e-04
  1.1444e-04 1.7354e+00 1.1444e-04 1.1444e-04]]; [1294.0337]
25; [[0.372  9.305  0.     0.3845 0.     0.     9.34   9.17   0.3848 7.73
  7.73   0.     0.     0.     0.     0.    ]]; [931.1031]
26; [[3.2930e+00 1.0266e+01 1.4305e-04 3.3145e+00 1.4305e-04 1.4305e-04
  1.4734e+01 1.1812e+01 3.9209e-01 1.0742e+01 1.0742e+01 1.4305e-04
  1.4305e-04 1.4305e-04 2.9219e+00 1.4305e-04]]; [2170.0076]
27; [[ 4.043  6.574  0.     4.04   0.     0.    10.77   9.5    0.543  8.71
   8.71   0.     0.     0.     3.5    0.   ]]; [1621.0925]
28; [[6.6211e+00 3.7305e+00 1.1444e-04 6.6211e+00 1.1444e-04 1.1444e-04
  9.8281e+00 9.5000e+00 5.2393e-01 8.8359e+00 8.8359e+00 1.1444e-04
  1.1444e-04 1.1444e-04 6.0977e+00 1.1444e-04]]; [2065.2285]
29; [[ 9.43   3.764  0.     9.45   0.     0.    12.555 11.875  0.661 11.46
  11.46   0.     0.     0.     8.79   0.   ]]; [3526.4126]
30; [[7.8789e+00 2.2031e+00 1.1444e-04 7.8750e+00 1.1444e-04 1.1444e-04
  9.5781e+00 9.5156e+00 5.0488e-01 9.1875e+00 9.1875e+00 1.1444e-04
  1.1444e-04 1.1444e-04 7.3750e+00 1.1444e-04]]; [2323.648]
31; [[8.21   1.942  0.     8.23   0.     0.     9.63   9.52   0.5337 9.22
  9.22   0.     0.     0.     7.69   0.    ]]; [2400.1245]
32; [[7.9648e+00 2.1758e+00 1.1444e-04 7.9688e+00 1.1444e-04 1.1444e-04
  9.6250e+00 9.5078e+00 5.2393e-01 9.2109e+00 9.2109e+00 1.1444e-04
