Step; State; Reward
1; [[0.000143 0.000143 0.000143 0.000143 0.000143 0.000143 0.000143 0.000143
34; [[ 0.455  11.55    0.      0.4675  0.      0.     11.77   11.77    0.4675
   4.59    4.59    0.      0.      0.      0.      0.    ]]; [1217.9241]
35; [[2.3792e-01 1.0461e+01 1.1444e-04 2.3767e-01 1.1444e-04 1.1444e-04
  9.4375e+00 9.4375e+00 2.3767e-01 3.0273e+00 3.0273e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [791.2762]
36; [[0.4688 8.33   0.     0.4678 0.     0.     9.2    9.2    0.4678 3.377
  3.377  0.     0.     0.     0.     0.    ]]; [753.90485]
37; [[2.0972e-01 1.0281e+01 1.1444e-04 2.0996e-01 1.1444e-04 1.1444e-04
  9.4844e+00 9.4922e+00 2.0996e-01 5.4531e+00 5.4531e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [886.2031]
38; [[ 0.5312 12.25    0.      0.529   0.      0.     11.61   11.62    0.529
   5.234   5.234   0.      0.      0.      0.      0.    ]]; [1249.3308]
39; [[0.3079 9.37   0.     0.3076 0.     0.     9.5    9.484  0.3076 3.234
  3.234  0.     0.     0.     0.     0.    ]]; [789.73645]
40; [[0.2152 9.34   0.     0.2163 0.     0.     9.36   9.36   0.2163 4.027
  4.027  0.     0.     0.     0.     0.    ]]; [797.21]
41; [[ 2.498   9.71    0.      2.498   0.      0.     11.71    9.47    0.2644
   5.074   5.074   0.      0.      0.      2.234   0.    ]]; [1251.1034]
42; [[ 4.01    6.316   0.      4.023   0.      0.     10.2     8.98    0.5776
   5.777   5.777   0.      0.      0.      3.441   0.    ]]; [1364.3978]
43; [[5.105  5.34   0.     5.098  0.     0.     9.96   8.734  0.4739 6.492
  6.492  0.     0.     0.     4.62   0.    ]]; [1545.7229]
44; [[6.6953e+00 4.8789e+00 1.4305e-04 6.7070e+00 1.4305e-04 1.4305e-04
  1.1055e+01 1.1594e+01 5.3760e-01 7.5703e+00 7.5703e+00 1.4305e-04
  1.4305e-04 1.4305e-04 6.1758e+00 1.4305e-04]]; [2422.9355]
45; [[5.594  3.871  0.     5.586  0.     0.     9.15   9.44   0.2893 6.645
  6.645  0.     0.     0.     5.293  0.    ]]; [1689.5388]
46; [[6.0664e+00 4.2305e+00 1.1444e-04 6.0664e+00 1.1444e-04 1.1444e-04
  1.0016e+01 9.4922e+00 2.9810e-01 7.7344e+00 7.7344e+00 1.1444e-04
  1.1444e-04 1.1444e-04 5.7656e+00 1.1444e-04]]; [1900.9011]
47; [[10.055   0.4597  0.     10.31    0.      0.     10.41   11.766   0.4277
   9.88    9.88    0.      0.      0.      9.87    0.    ]]; [3345.7197]
48; [[9.5312e+00 1.1444e-04 1.1444e-04 9.8516e+00 1.1444e-04 1.1444e-04
  9.5156e+00 9.5312e+00 3.4082e-01 9.5312e+00 9.5312e+00 1.1444e-04
  1.1444e-04 1.1444e-04 9.5156e+00 1.1444e-04]]; [2725.7864]
49; [[8.43   0.     0.     7.344  0.     0.     7.043  8.414  0.3008 8.414
  8.414  0.     0.     0.     7.03   0.    ]]; [2007.7992]
50; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.0002403  0.00011444 0.00011444 0.00011444 0.00011444
  0.00011444 0.00011444 0.00011444 0.00011444]]; [0.00769043]
51; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
52; [[0.0002403  0.00011444 0.00011444 0.00011444 0.00011444 0.00011444
