Step; State; Reward
102; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
103; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
104; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
105; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
106; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
107; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
108; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
109; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
110; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
111; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
112; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
113; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
114; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
115; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
116; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
117; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
118; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
119; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
120; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
121; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
122; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
123; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
124; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
125; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
126; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
127; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
128; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
129; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
130; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
131; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
132; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
133; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
134; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
135; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
136; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
137; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
138; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
139; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
140; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
141; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
142; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
143; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
144; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
145; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
146; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
147; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
148; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
149; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
150; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
151; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
152; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
153; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
154; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
155; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
156; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
157; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
158; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
159; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
160; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
161; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
162; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
163; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
164; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
165; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
166; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
167; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
168; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
169; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
170; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
171; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
172; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
173; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
174; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
175; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
176; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
177; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
178; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
179; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
180; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
181; [[0.6816 9.82   0.     0.6816 0.     0.     9.92   9.45   0.2172 8.625 8.625  0.     0.4644 0.     0.     0.    ]]; [1053.3387]
