agent, num_iperfs, flow_size, time, memory, iter
C,2,200,1212.623004,3868.0546875,4
C,2,200,1281.880942,3854.40234375,0
C,2,200,1163.106276,3850.5283203125,3
C,2,500,1570.636763,3920.048828125,1
C,2,500,1364.776685,3935.8701171875,2
C,2,500,4258.217754,4160.400390625,3
C,2,500,1947.8462260000001,3911.7939453125,4
C,2,500,1666.998663,3908.3994140625,0
C,4,10,1189.33409,3851.6328125,3
C,4,10,993.321356,3847.880859375,0
C,4,10,1118.894209,3848.033203125,4
C,4,10,1027.941969,3853.9091796875,1
C,4,10,1175.602414,3852.798828125,2
C,4,50,1078.337246,3862.1865234375,1
C,4,50,980.252829,3840.1884765625,2
C,4,50,1155.156091,3859.90625,3
C,4,50,1042.825196,3858.7626953125,0
C,4,50,1057.042289,3844.345703125,4
C,4,100,1851.692342,3941.59765625,1
C,4,100,1774.181223,3945.7216796875,2
C,4,100,1844.887321,3941.1533203125,3
C,4,100,1809.813757,3942.0703125,0
C,4,100,1668.970121,3942.2431640625,4
C,4,200,2221.365047,3986.130859375,2
C,4,200,2292.392155,3991.2607421875,1
C,4,200,2095.769063,3974.3525390625,0
C,4,200,2313.614682,3987.041015625,4
C,4,200,2270.153296,3978.2265625,3
C,4,500,3641.790032,4175.9609375,2
C,4,500,3794.528896,4175.03515625,1
C,4,500,4328.034251,4191.201171875,4
C,4,500,3525.820806,4179.775390625,0
C,4,500,4285.262883,4187.720703125,3
C,8,10,984.391421,3825.4775390625,3
C,8,10,1033.608177,3830.1533203125,0
C,8,10,927.934736,3822.1826171875,4
C,8,10,998.311002,3824.32421875,1
C,8,10,921.3896119999999,3822.126953125,2
C,8,50,1532.708012,3903.1513671875,2
C,8,50,1616.906869,3906.7275390625,1
C,8,50,1411.016709,3889.849609375,0
C,8,50,1560.708362,3888.380859375,4
C,8,50,1188.658028,3891.6455078125,3
C,8,100,3569.193512,4190.35546875,3
C,8,100,3547.648522,4186.6064453125,4
C,8,100,3420.4591,4187.0849609375,0
C,8,100,3337.027207,4180.9150390625,1
C,8,100,3830.841039,4191.4462890625,2
C,8,200,3914.873962,4176.3681640625,4
C,8,200,3977.090682,4193.6728515625,0
C,8,200,3893.137071,4192.3994140625,3
C,8,200,4069.000556,4192.7265625,2
C,8,200,3809.214164,4193.09375,1
C,8,500,7529.014285,4253.11328125,4
C,8,500,7825.363766,4253.8486328125,0
C,8,500,7609.96072,4254.0224609375,3
C,8,500,7652.486813,4263.0126953125,2
C,8,500,5765.391549,4245.2958984375,1
A2,2,10,182.422651,3805.0048828125,1
A2,2,10,153.920019,3802.6337890625,2
A2,2,10,143.382629,3805.30859375,3
A2,2,10,157.578173,3805.2626953125,4
A2,2,10,164.552365,3807.802734375,0
A2,2,50,427.114236,3819.873046875,2
A2,2,50,483.200525,3807.2666015625,1
A2,2,50,442.998426,3823.4287109375,0
A2,2,50,462.261286,3823.30859375,4
A2,2,50,455.115835,3823.0078125,3
A2,2,100,787.882948,3823.1298828125,0
A2,2,100,858.220305,3824.19921875,4
A2,2,100,797.483711,3829.0625,3
A2,2,100,783.595759,3826.86328125,2
A2,2,100,752.847843,3826.626953125,1
A2,2,200,1370.338092,3834.025390625,1
A2,2,200,1496.714193,3835.6640625,2
A2,2,200,1489.646677,3837.5029296875,3
A2,2,200,1195.609629,3826.3896484375,4
A2,2,200,1406.153284,3831.947265625,0
A2,2,500,2096.315819,3854.3740234375,3
A2,2,500,2076.2990369999998,3853.09765625,4
A2,2,500,2230.73155,3840.95703125,0
