agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
A,8,46122,50,50.1,936.0,372.0,1.13,1
A,8,46122,50,50.4,1286.0,569.0,0.7265625,4
A,8,46112,50,50.0,1053.0,470.0,0.8720703125,4
A,8,46114,50,50.0,1774.0,431.0,0.951171875,4
A,8,46124,50,50.1,2036.0,503.0,0.8154296875,4
A,8,46124,50,50.5,1273.0,390.0,1.09,0
A,8,46114,50,50.4,3912.0,392.0,1.08,2
A,8,46114,50,50.3,1839.0,464.0,0.888671875,3
A,8,46124,50,50.7,1076.0,353.0,1.2,1
A,8,46124,50,50.2,1439.0,458.0,0.8974609375,3
A,8,46114,50,50.1,1321.0,343.0,1.22,1
A,8,46114,50,50.1,1798.0,376.0,1.12,0
A,8,46124,50,50.1,2560.0,505.0,0.8125,2
A,8,46118,50,50.1,1464.0,444.0,0.923828125,3
A,8,46118,50,50.2,2965.0,483.0,0.8515625,2
A,8,46118,50,51.2,1139.0,406.0,1.06,0
A,8,46116,50,50.2,1816.0,547.0,0.7509765625,4
A,8,46118,50,50.6,1386.0,344.22,1.23,1
A,8,46116,50,50.1,1586.0,347.0,1.21,1
A,8,46116,50,50.1,1811.0,276.0,1.52,0
A,8,46118,50,50.3,1368.0,559.0,0.736328125,4
A,8,46116,50,50.0,2099.0,491.0,0.8349609375,2
A,8,46116,50,50.3,1383.0,472.01,0.8720703125,3
A,8,46110,50,50.4,3677.0,499.0,0.8271484375,2
A,8,46120,50,50.0,1782.0,260.0,1.61,0
A,8,46120,50,50.4,1144.0,381.01,1.11,1
A,8,46110,50,50.0,1974.0,316.0,1.33,3
A,8,46110,50,50.1,1595.0,353.0,1.19,1
A,8,46120,50,50.1,1376.0,444.0,0.923828125,3
A,8,46120,50,50.0,2954.0,370.0,1.13,2
A,8,46110,50,50.4,1222.0,303.0,1.4,0
A,8,46110,50,50.1,1508.0,441.0,0.9306640625,4
A,8,46120,50,50.1,1731.0,515.01,0.7958984375,4
A,8,46124,100,101.0,2048.0,671.0,1.26,3
A,8,46120,100,100.0,2139.0,625.0,1.34,4
A,8,46124,100,100.0,1889.0,700.0,1.2,2
A,8,46124,100,100.0,2662.0,590.0,1.42,0
A,8,46122,100,100.0,2243.0,714.0,1.18,4
A,8,46124,100,100.0,2386.0,705.0,1.19,1
A,8,46120,100,100.0,2165.0,680.0,1.24,2
A,8,46122,100,100.0,1937.0,496.0,1.69,1
A,8,46122,100,100.0,2463.0,602.0,1.39,0
A,8,46120,100,100.0,2592.0,645.0,1.3,3
A,8,46124,100,101.0,3316.0,716.0,1.18,4
A,8,46120,100,100.0,2581.0,671.01,1.26,1
A,8,46122,100,100.0,1832.0,689.0,1.22,2
A,8,46122,100,100.0,2856.0,636.0,1.32,3
A,8,46120,100,101.0,2148.0,737.0,1.15,0
A,8,46116,100,100.0,2753.0,705.0,1.19,4
A,8,46112,100,100.0,3724.0,592.0,1.42,3
A,8,46110,100,101.0,1907.0,673.0,1.25,0
A,8,46110,100,100.0,7887.0,633.0,1.33,1
A,8,46112,100,100.0,2933.0,431.0,1.95,2
A,8,46112,100,100.0,2088.0,610.0,1.38,0
A,8,46110,100,101.0,12292.0,141.0,6.01,3
A,8,46114,100,100.0,2381.0,711.0,1.18,4
A,8,46110,100,100.0,2529.0,409.0,2.05,2
A,8,46112,100,100.0,2888.0,365.0,2.3,1
A,8,46116,100,101.0,1689.0,698.0,1.21,2
A,8,46114,100,100.0,2382.0,568.0,1.48,1
A,8,46114,100,100.0,2490.0,713.0,1.18,0
A,8,46112,100,100.0,6989.0,490.0,1.72,4
A,8,46116,100,100.0,2152.0,657.0,1.28,3
A,8,46116,100,100.0,2472.0,705.0,1.19,1
A,8,46114,100,100.0,2470.0,558.0,1.5,2
A,8,46114,100,100.0,2695.0,719.0,1.17,3
A,8,46110,100,100.0,3366.0,706.0,1.19,4
A,8,46116,100,100.0,2251.0,735.0,1.15,0
A,8,46118,100,100.0,2846.0,388.0,2.17,2
A,8,46118,100,100.0,2295.0,711.0,1.18,3
A,8,46118,100,100.0,2257.0,662.0,1.27,1
A,8,46118,100,100.0,2313.0,714.0,1.18,0
A,8,46118,100,100.0,2314.0,696.0,1.21,4
A,8,46118,200,200.0,4112.0,1349.0,1.25,3
A,8,46118,200,200.0,15066.0,1144.0,1.47,2
A,8,46118,200,200.0,6129.0,1138.0,1.47,0
A,8,46118,200,201.0,11459.0,932.0,1.81,1
A,8,46118,200,200.0,4981.0,1083.0,1.55,4
A,8,46112,200,200.0,14650.0,1057.0,1.59,2
A,8,46110,200,200.0,10964.0,1030.0,1.63,1
A,8,46110,200,201.0,6480.0,887.0,1.9,0
A,8,46116,200,200.0,6717.0,1273.0,1.32,4
A,8,46112,200,200.0,7323.0,1232.0,1.36,3
A,8,46112,200,200.0,5445.0,851.0,1.97,1
A,8,46110,200,200.0,8021.0,1255.0,1.34,2
A,8,46110,200,201.0,6829.0,1078.0,1.56,3
A,8,46114,200,200.0,10845.0,970.0,1.73,4
A,8,46112,200,200.0,7219.0,983.0,1.71,0
A,8,46112,200,201.0,5147.0,1129.0,1.49,4
A,8,46116,200,200.0,6247.0,1185.0,1.42,3
A,8,46114,200,200.0,5055.0,1420.0,1.18,0
A,8,46114,200,200.0,7760.0,1364.0,1.23,1
A,8,46116,200,200.0,13864.0,977.0,1.72,2
A,8,46116,200,200.0,7419.0,1149.0,1.46,0
A,8,46114,200,200.0,11978.0,870.0,1.93,3
A,8,46110,200,200.0,6776.0,1270.0,1.32,4
A,8,46114,200,200.0,12650.0,1203.0,1.4,2
A,8,46116,200,201.0,7648.0,1261.0,1.33,1
A,8,46124,200,200.0,4536.0,1317.0,1.28,2
A,8,46124,200,201.0,3576.0,1359.0,1.24,3
A,8,46120,200,201.0,3569.0,1431.0,1.18,4
