agent, num_iperfs, flow_size, time, memory, iter
C,4,10M,993.321356,3847.880859375,0
C,4,10M,1118.894209,3848.033203125,4
C,4,10M,1027.941969,3853.9091796875,1
C,4,10M,1175.602414,3852.798828125,2
C,4,50M,1078.337246,3862.1865234375,1
C,4,50M,980.252829,3840.1884765625,2
C,4,50M,1155.156091,3859.90625,3
C,4,50M,1042.825196,3858.7626953125,0
C,4,50M,1057.042289,3844.345703125,4
C,4,100M,1851.692342,3941.59765625,1
C,4,100M,1774.181223,3945.7216796875,2
C,4,100M,1844.887321,3941.1533203125,3
C,4,100M,1809.813757,3942.0703125,0
C,4,100M,1668.970121,3942.2431640625,4
C,4,200M,2221.365047,3986.130859375,2
C,4,200M,2292.392155,3991.2607421875,1
C,4,200M,2095.769063,3974.3525390625,0
C,4,200M,2313.614682,3987.041015625,4
C,4,200M,2270.153296,3978.2265625,3
C,4,500M,3641.790032,4175.9609375,2
C,4,500M,3794.528896,4175.03515625,1
C,4,500M,4328.034251,4191.201171875,4
C,4,500M,3525.820806,4179.775390625,0
C,4,500M,4285.262883,4187.720703125,3
C,8,10M,984.391421,3825.4775390625,3
C,8,10M,1033.608177,3830.1533203125,0
C,8,10M,927.934736,3822.1826171875,4
C,8,10M,998.311002,3824.32421875,1
C,8,10M,921.3896119999999,3822.126953125,2
C,8,50M,1532.708012,3903.1513671875,2
C,8,50M,1616.906869,3906.7275390625,1
C,8,50M,1411.016709,3889.849609375,0
C,8,50M,1560.708362,3888.380859375,4
C,8,50M,1188.658028,3891.6455078125,3
C,8,100M,3569.193512,4190.35546875,3
C,8,100M,3547.648522,4186.6064453125,4
C,8,100M,3420.4591,4187.0849609375,0
C,8,100M,3337.027207,4180.9150390625,1
C,8,100M,3830.841039,4191.4462890625,2
C,8,200M,3914.873962,4176.3681640625,4
C,8,200M,3977.090682,4193.6728515625,0
C,8,200M,3893.137071,4192.3994140625,3
C,8,200M,4069.000556,4192.7265625,2
C,8,200M,3809.214164,4193.09375,1
C,8,500M,7529.014285,4253.11328125,4
C,8,500M,7825.363766,4253.8486328125,0
C,8,500M,7609.96072,4254.0224609375,3
C,8,500M,7652.486813,4263.0126953125,2
C,8,500M,5765.391549,4245.2958984375,1
