Step; State; Reward
1; [[0.1793 7.41   0.     0.1613 0.     0.     7.043  7.016  0.1611 7.01
  1.1444e-04 3.4316e+00 7.9961e+00 1.1444e-04]]; [4128.6514]
39; [[ 9.46  10.17   0.    14.055  8.58   0.     5.312 14.875  9.35   6.094
  14.875  0.     0.     8.766  4.594  0.   ]]; [5287.629]
40; [[1.184e+01 1.329e+01 1.431e-04 1.289e+01 8.664e+00 1.431e-04 6.297e+00
  1.509e+01 9.664e+00 2.033e+00 1.081e+01 1.431e-04 1.431e-04 8.773e+00
  3.227e+00 1.431e-04]]; [5661.1865]
41; [[ 3.81  10.1    0.     3.8    3.398  0.     6.086  9.484  3.8    0.
   3.398  0.     0.     3.398  0.     0.   ]]; [1349.8846]
42; [[7.008e+00 1.379e+01 1.431e-04 7.062e+00 6.355e+00 1.431e-04 5.430e+00
  1.188e+01 7.055e+00 1.431e-04 6.453e+00 1.431e-04 1.431e-04 6.434e+00
  1.431e-04 1.431e-04]]; [2831.9785]
43; [[6.047 9.32  0.    6.043 5.516 0.    3.715 9.336 6.047 0.    5.62  0.
  0.    5.613 0.    0.   ]]; [1869.0808]
44; [[2.8164e+00 1.4594e+01 1.4305e-04 2.8145e+00 2.5000e+00 1.4305e-04
  9.1641e+00 9.3672e+00 2.2520e+00 1.1444e-04 2.0391e+00 1.1444e-04
  1.4305e-04 2.0391e+00 1.4305e-04 1.4305e-04]]; [1245.113]
45; [[ 7.227 12.695  0.     7.227  6.82   0.     4.844 11.81   7.227  0.
   6.97   0.     0.     6.97   0.     0.   ]]; [2866.5662]
46; [[4.973 9.9   0.    4.973 4.51  0.    4.848 9.43  4.973 0.    4.582 0.
  0.    4.582 0.    0.   ]]; [1621.0021]
47; [[ 0.2151 10.81    0.      0.2151  0.      0.      9.53    9.51    0.2151
   9.3     9.3     0.      0.      0.      0.      0.    ]]; [1049.5137]
48; [[ 0.4167 12.66    0.      0.4167  0.      0.     11.86   11.86    0.4167
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [1432.1741]
49; [[ 0.2329 11.516   0.      0.2329  0.      0.      9.516   9.53    0.233
