Step; State; Reward
65; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
66; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
67; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
68; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
69; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
70; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
71; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
72; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
73; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
74; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
75; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
76; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
77; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
78; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
79; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
80; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
81; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
82; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
83; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
84; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
85; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
86; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
87; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
88; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
89; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
90; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
91; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
92; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
93; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
94; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
95; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
96; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
97; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
98; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
99; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
100; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
101; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
102; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
103; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
104; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
105; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
106; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
107; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
108; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
109; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
110; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
111; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
112; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
113; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
114; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
115; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
116; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
117; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
118; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
119; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
120; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
121; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
122; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
123; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
124; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
125; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
126; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
127; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
128; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
129; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
130; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
131; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
132; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
133; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
134; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
135; [[ 8.44  18.     7.73   7.66   0.     0.    17.66   9.836  4.746  3.275
   7.637  0.     0.     4.836  0.     0.   ]]; [3390.1753]
