Step; State; Reward
68; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
69; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
70; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
71; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
72; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
73; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
74; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
75; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
76; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
77; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
78; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
79; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
80; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
81; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
82; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
83; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
84; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
85; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
86; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
87; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
88; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
89; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
90; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
91; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
92; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
93; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
94; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
95; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
96; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
97; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
98; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
99; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
100; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
101; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
102; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
103; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
104; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
105; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
106; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
107; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
108; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
109; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
110; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
111; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
112; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
113; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
114; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
115; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
116; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
117; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
118; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
119; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
120; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
121; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
122; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
123; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
124; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
125; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
126; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
127; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
128; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
129; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
130; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
131; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
132; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
133; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
134; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
135; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
136; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
137; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
138; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [498.39224]
139; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
140; [[ 0.1693 10.2     0.      0.1693  0.      0.      7.63    7.63    0.1694
