Step; State; Reward
0; [[0.1788 9.625  0.     0.1786 0.     0.     9.445  9.445  0.1786 9.445
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
29; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
30; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
31; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
32; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
33; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
34; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
35; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
36; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
37; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
38; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
39; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
40; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
41; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
42; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
43; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
44; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
45; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
46; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
47; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
48; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
49; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
50; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
51; [[4.1992e-01 4.9102e+00 1.1444e-04 3.1836e-01 2.4033e-04 1.1444e-04
  5.9180e+00 5.9414e+00 3.3228e-01 5.9414e+00 5.9414e+00 2.4033e-04
  2.4033e-04 1.1444e-04 2.4033e-04 1.1444e-04]]; [0.]
52; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
53; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
54; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
55; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
56; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
57; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
58; [[0.3054 9.664  0.     0.3506 0.     0.     7.496  7.645  0.338  7.637
  7.637  0.     0.     0.     0.     0.    ]]; [0.]
