Step; State; Reward
  9.039e+00 2.820e-01 9.039e+00 9.039e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
61; [[2.844e-01 9.242e+00 1.431e-04 2.793e-01 1.431e-04 1.431e-04 9.492e+00
  9.039e+00 2.820e-01 9.039e+00 9.039e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
62; [[2.844e-01 9.242e+00 1.431e-04 2.793e-01 1.431e-04 1.431e-04 9.492e+00
  9.039e+00 2.820e-01 9.039e+00 9.039e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
63; [[2.844e-01 9.242e+00 1.431e-04 2.793e-01 1.431e-04 1.431e-04 9.492e+00
  9.039e+00 2.820e-01 9.039e+00 9.039e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
64; [[2.844e-01 9.242e+00 1.431e-04 2.793e-01 1.431e-04 1.431e-04 9.492e+00
  9.039e+00 2.820e-01 9.039e+00 9.039e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
65; [[2.844e-01 9.242e+00 1.431e-04 2.793e-01 1.431e-04 1.431e-04 9.492e+00
  9.039e+00 2.820e-01 9.039e+00 9.039e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
66; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
67; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
68; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
69; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
70; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
71; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
72; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
73; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
74; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
75; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
76; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
77; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
78; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
79; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
80; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
81; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
82; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
83; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
84; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
85; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
86; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
87; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
88; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
89; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
90; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
91; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
92; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
93; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
94; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
95; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
96; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
97; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
98; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
99; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
100; [[ 0.143  10.02    0.      0.1425  0.      0.      8.39    8.23    0.1422
   8.23    8.23    0.      0.      0.      0.      0.    ]]; [0.]
101; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
102; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
103; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
104; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
105; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
106; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
107; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
108; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
109; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
110; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
111; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
112; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
113; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
114; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
115; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
116; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
117; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
118; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
119; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
120; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
121; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
122; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
123; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
124; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
125; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
126; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
127; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
128; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
129; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
130; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
131; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
132; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
133; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
134; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
135; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
136; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
137; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
138; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
139; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
140; [[0.3035 9.61   0.     0.304  0.     0.     8.234  8.016  0.2983 8.016
  8.016  0.     0.     0.     0.     0.    ]]; [0.]
141; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
142; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
143; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
144; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
145; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
146; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
147; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
148; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
149; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
150; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
151; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
152; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
153; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
154; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
155; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
156; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
157; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
158; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
159; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
160; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
161; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
162; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
163; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
164; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
165; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
166; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
167; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
168; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
169; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
170; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
171; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
172; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
173; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
174; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
175; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
176; [[0.4673 8.15   0.     0.4656 0.     0.     7.844  7.95   0.474  7.95
  7.95   0.     0.     0.     0.     0.    ]]; [0.]
177; [[4.788e-01 6.406e+00 1.431e-04 4.807e-01 1.431e-04 1.431e-04 8.469e+00
  9.844e+00 4.807e-01 9.844e+00 9.844e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
