Step; State; Reward
Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
Step; State; Reward
Step; State; Reward
Step; State; Reward
61; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
62; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
63; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
64; [[1.315e+00 8.906e+00 1.431e-04 1.327e+00 3.014e-04 1.179e+00 7.953e+00
  8.898e+00 1.326e+00 7.453e+00 6.352e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.138e+00]]; [0.]
65; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
66; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
67; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
68; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
69; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
70; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
71; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
72; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
73; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
74; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
75; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
76; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
77; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
78; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
79; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
80; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
81; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
82; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
83; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
84; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
85; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
86; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
87; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
88; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
89; [[1.262  8.016  0.     1.318  0.     1.123  6.69   8.13   1.3955 7.047
  5.9    0.     0.     0.     0.     1.118 ]]; [0.]
90; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
91; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
92; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
93; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
94; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
95; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
96; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
97; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
98; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
99; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
100; [[1.179 7.684 0.    1.227 0.    0.998 7.035 7.76  1.201 6.793 5.793 0.
  0.    0.    0.    1.035]]; [0.]
