Step; State; Reward
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
50; [[2.452e-01 1.028e+01 1.431e-04 2.371e-01 3.014e-04 3.014e-04 8.148e+00
  8.398e+00 2.450e-01 8.398e+00 8.398e+00 3.014e-04 1.431e-04 3.014e-04
  3.014e-04 3.014e-04]]; [0.]
51; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
52; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
53; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
54; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
55; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
56; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
57; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
58; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
59; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
60; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
61; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
  4.402  0.     0.     0.     0.     0.    ]]; [0.]
62; [[0.1573 6.035  0.     0.1742 0.     0.     5.066  4.402  0.1573 4.402
