Step; State; Reward
78; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
79; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
80; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
81; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
82; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
83; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
84; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
85; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
86; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
87; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
88; [[ 0.623  14.62    0.      0.625   0.      0.     15.56   12.76    0.6353
  12.76   12.76    0.      0.      0.      0.      0.    ]]; [0.]
89; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
90; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
91; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
92; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
93; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
94; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
95; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
96; [[0.427  9.69   0.     0.424  0.     0.     8.69   8.37   0.4255 8.37
  8.37   0.     0.     0.     0.     0.    ]]; [0.]
