Step; State; Reward
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
84; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
85; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
86; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
87; [[ 0.471  14.266   0.      0.4753  0.      0.     16.31   13.05    0.537
  13.04   13.04    0.      0.      0.      0.      0.    ]]; [0.]
88; [[0.4893 9.81   0.     0.4973 0.     0.     9.266  9.33   0.4907 9.32
  9.32   0.     0.     0.     0.     0.    ]]; [0.]
89; [[0.4893 9.81   0.     0.4973 0.     0.     9.266  9.33   0.4907 9.32
  9.32   0.     0.     0.     0.     0.    ]]; [0.]
90; [[0.4893 9.81   0.     0.4973 0.     0.     9.266  9.33   0.4907 9.32
  9.32   0.     0.     0.     0.     0.    ]]; [0.]
91; [[0.4893 9.81   0.     0.4973 0.     0.     9.266  9.33   0.4907 9.32
  9.32   0.     0.     0.     0.     0.    ]]; [0.]
92; [[0.4893 9.81   0.     0.4973 0.     0.     9.266  9.33   0.4907 9.32
  9.32   0.     0.     0.     0.     0.    ]]; [0.]
93; [[0.4893 9.81   0.     0.4973 0.     0.     9.266  9.33   0.4907 9.32
  9.32   0.     0.     0.     0.     0.    ]]; [0.]
94; [[0.4893 9.81   0.     0.4973 0.     0.     9.266  9.33   0.4907 9.32
  9.32   0.     0.     0.     0.     0.    ]]; [0.]
95; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
96; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
  5.7930e+00 5.9062e+00 2.9248e-01 5.9062e+00 5.9062e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
97; [[3.1152e-01 5.3789e+00 1.1444e-04 3.1885e-01 1.1444e-04 1.1444e-04
