agent, num_iperfs, port_number, original_size, transfered, retries, flow_completion_time, bandwidth, iter
A1,4,5204,500M,493.0,-1,1581.84,2.61,0
A1,4,5203,500M,488.0,-1,1497.07,2.74,4
A1,4,5204,500M,488.0,-1,1574.0,2.6,1
A1,4,46112,500M,501.0,13850.0,1693.0,2.48,2
A1,4,46110,500M,501.0,24699.0,1639.15,2.56,1
A1,4,46110,500M,500.0,20658.0,963.0,4.36,3
A1,4,46114,500M,500.0,34274.0,1495.0,2.81,4
A1,4,46112,500M,500.0,8804.0,1702.0,2.47,0
A1,4,5204,500M,492.0,-1,1337.82,3.08,3
A1,4,5204,500M,485.0,-1,1648.0,2.47,2
A1,4,46112,500M,500.0,22614.0,1313.0,3.19,1
A1,4,5201,500M,490.0,-1,1473.28,2.79,4
A1,4,46110,500M,500.0,8222.0,1619.0,2.59,2
A1,4,5201,500M,492.0,-1,1238.5,3.33,0
A1,4,46114,500M,500.0,20235.0,1411.0,2.97,1
A1,4,5202,500M,487.0,-1,1696.65,2.41,2
A1,4,46116,500M,500.0,10102.0,1648.0,2.55,2
A1,4,5203,500M,492.0,-1,1851.65,2.23,3
A1,4,5203,500M,485.0,-1,1384.94,2.94,2
A1,4,46112,500M,501.0,30469.0,1746.0,2.41,4
A1,4,46116,500M,500.0,11042.0,1337.0,3.14,3
A1,4,5202,500M,493.0,-1,1847.82,2.24,3
A1,4,46114,500M,501.0,10422.0,1719.0,2.45,0
A1,4,5201,500M,491.0,-1,1639.97,2.51,1
A1,4,5201,500M,491.0,-1,964.73,4.27,3
A1,4,46114,500M,500.0,12927.0,1383.0,3.03,2
A1,4,5202,500M,493.0,-1,1314.32,3.14,1
A1,4,46116,500M,500.0,17171.0,1574.0,2.67,1
A1,4,5203,500M,493.0,-1,1720.22,2.41,0
A1,4,5204,500M,490.0,-1,1365.35,3.01,4
A1,4,5203,500M,494.0,-1,1412.83,2.93,1
A1,4,46116,500M,501.0,20915.0,1580.0,2.66,0
A1,4,5202,500M,496.0,-1,1703.08,2.45,0
A1,4,46114,500M,501.0,14072.0,1851.0,2.27,3
A1,4,5201,500M,487.0,-1,1620.83,2.52,2
A1,4,46110,500M,501.0,36022.0,1471.0,2.86,4
A1,8,46120,10M,10.4,146.0,64.0,1.37,3
A1,8,46110,10M,10.5,342.0,19.0,4.63,1
A1,8,5201,10M,7.44,-1,41.54,1.5,2
A1,8,5201,10M,6.5,-1,18.43,2.96,3
A1,8,46110,10M,11.2,167.0,16.0,5.86,0
A1,8,46120,10M,10.2,369.0,99.0,0.8447265625,2
A1,8,46120,10M,10.5,199.0,50.86,1.74,0
A1,8,46110,10M,10.1,734.0,40.82,2.07,2
A1,8,5201,10M,6.97,-1,19.69,2.97,1
A1,8,5202,10M,7.02,-1,39.31,1.5,4
A1,8,5201,10M,6.85,-1,17.1,3.36,0
A1,8,46110,10M,10.2,119.0,17.0,5.03,3
A1,8,46120,10M,10.3,55.0,33.0,2.62,1
A1,8,5201,10M,7.81,-1,29.48,2.22,4
A1,8,5202,10M,7.57,-1,31.99,1.98,0
A1,8,5202,10M,7.27,-1,33.2,1.84,1
A1,8,46120,10M,10.1,206.0,58.0,1.46,4
A1,8,46110,10M,10.2,150.0,28.0,3.06,4
A1,8,5202,10M,7.99,-1,35.43,1.89,3
A1,8,5202,10M,6.47,-1,44.86,1.21,2
A1,8,46118,10M,10.6,248.0,52.0,1.7,0
A1,8,5204,10M,8.61,-1,65.54,1.1,3
A1,8,46116,10M,10.0,136.0,49.0,1.71,4
A1,8,5204,10M,8.62,-1,97.84,0.7216796875,2
