Step;State;Reward
57; [11.734375, 11.1640625, 12.7578125, 11.734375, 0.0, 0.0, 11.6640625, 23.359375, 12.2421875, 5.62109375, 17.265625, 0.0, 0.0, 11.71875, 0.0, 0.0];6178.859
58; [9.3984375, 8.7265625, 13.28125, 9.3828125, 0.0, 0.0, 9.3671875, 18.75, 9.7578125, 7.26171875, 16.625, 0.0, 0.0, 9.3828125, 0.0, 0.0];4309.8325
59; [9.3984375, 8.7265625, 13.28125, 9.3828125, 0.0, 0.0, 9.3671875, 18.75, 9.7578125, 7.26171875, 16.625, 0.0, 0.0, 9.3828125, 0.0, 0.0];0.0
60; [11.734375, 15.046875, 11.4296875, 11.6953125, 0.0001430511474609375, 0.0001430511474609375, 11.71875, 23.421875, 12.609375, 11.71875, 23.421875, 0.0001430511474609375, 0.0001430511474609375, 11.6875, 0.0001430511474609375, 0.0001430511474609375];6906.5454
61; [9.2265625, 1.892578125, 8.546875, 8.78125, 0.0, 0.0, 4.203125, 12.328125, 8.2578125, 4.8359375, 12.328125, 0.0, 0.0, 7.49609375, 0.0, 0.0];1993.8839
62; [11.8515625, 0.0001430511474609375, 12.453125, 11.8984375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 11.84375, 12.25, 0.0001430511474609375, 11.8359375, 0.0001430511474609375, 0.0001430511474609375, 11.8984375, 0.0001430511474609375, 0.0001430511474609375];2096.3586
63; [11.8515625, 0.0, 12.484375, 11.9296875, 0.0, 0.0, 0.0, 11.8984375, 12.4375, 0.0, 11.8984375, 0.0, 0.0, 11.890625, 0.0, 0.0];2114.2407
64; [9.5234375, 0.00011444091796875, 6.625, 9.5234375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 8.6328125, 8.953125, 0.00011444091796875, 8.84375, 0.00011444091796875, 0.00011444091796875, 8.546875, 0.00011444091796875, 0.00011444091796875];1125.0248
65; [9.53125, 4.6015625, 9.0, 9.53125, 0.0, 0.0, 4.6015625, 13.8046875, 9.609375, 0.0, 9.203125, 0.0, 0.0, 9.1875, 0.0, 0.0];2280.3481
66; [9.5390625, 7.859375, 9.3671875, 9.546875, 0.00011444091796875, 0.00011444091796875, 7.64453125, 17.03125, 9.8828125, 0.00011444091796875, 9.40625, 0.00011444091796875, 0.00011444091796875, 9.4375, 0.00011444091796875, 0.00011444091796875];3175.4204
67; [11.859375, 13.6484375, 12.9609375, 11.890625, 0.0, 0.0, 11.6328125, 23.484375, 12.359375, 0.0, 11.8515625, 0.0, 0.0, 11.890625, 0.0, 0.0];5875.6436
68; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];718.2668
69; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
70; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
71; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
72; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
73; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
74; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
75; [0.381103515625, 10.6484375, 0.0023097991943359375, 0.38134765625, 0.0, 0.0, 9.375, 9.390625, 0.38134765625, 0.0, 0.002452850341796875, 0.0, 0.0, 0.0023097991943359375, 0.0, 0.0];674.6464
76; [0.381103515625, 10.6484375, 0.0023097991943359375, 0.38134765625, 0.0, 0.0, 9.375, 9.390625, 0.38134765625, 0.0, 0.002452850341796875, 0.0, 0.0, 0.0023097991943359375, 0.0, 0.0];0.0
77; [0.381103515625, 10.6484375, 0.0023097991943359375, 0.38134765625, 0.0, 0.0, 9.375, 9.390625, 0.38134765625, 0.0, 0.002452850341796875, 0.0, 0.0, 0.0023097991943359375, 0.0, 0.0];0.0
78; [0.381103515625, 10.6484375, 0.0023097991943359375, 0.38134765625, 0.0, 0.0, 9.375, 9.390625, 0.38134765625, 0.0, 0.002452850341796875, 0.0, 0.0, 0.0023097991943359375, 0.0, 0.0];0.0
79; [0.3896484375, 5.98046875, 0.00011444091796875, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 9.0, 9.0, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];549.0362
80; [0.3896484375, 5.98046875, 0.00011444091796875, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 9.0, 9.0, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
81; [0.3896484375, 5.98046875, 0.00011444091796875, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 9.0, 9.0, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
82; [0.3896484375, 5.98046875, 0.00011444091796875, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 9.0, 9.0, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
83; [0.3896484375, 5.98046875, 0.00011444091796875, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 9.0, 9.0, 0.3896484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
