Step; State; Reward
0; [[0.006405 0.       0.       0.       0.       0.       0.       0.
  9.23   0.     0.     0.     0.     0.    ]]; [975.7458]
44; [[4.4141e-01 8.7500e+00 1.1444e-04 4.4165e-01 1.1444e-04 1.1444e-04
  9.4453e+00 9.4453e+00 4.4165e-01 2.7930e+00 2.7930e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [765.79266]
45; [[0.2035 9.805  0.     0.2031 0.     0.     9.375  9.336  0.2031 2.145
  2.145  0.     0.     0.     0.     0.    ]]; [730.6725]
46; [[0.204  9.47   0.     0.2035 0.     0.     9.37   9.37   0.2035 2.223
  2.223  0.     0.     0.     0.     0.    ]]; [730.1504]
47; [[ 0.636  10.445   0.      0.6387  0.      0.     11.555  11.54    0.6387
   4.168   4.168   0.      0.      0.      0.      0.    ]]; [1153.4963]
48; [[ 0.2046 10.05    0.      0.2046  0.      0.      9.4     9.38    0.2046
   2.414   2.414   0.      0.      0.      0.      0.    ]]; [751.0422]
49; [[0.3403 9.74   0.     0.3403 0.     0.     9.42   9.42   0.3403 2.275
  2.275  0.     0.     0.     0.     0.    ]]; [754.7433]
50; [[0.2036 9.71   0.     0.2034 0.     0.     9.33   9.36   0.2032 2.305
  2.305  0.     0.     0.     0.     0.    ]]; [736.8371]
51; [[ 0.3801 13.305   0.      0.3833  0.      0.     11.7    11.44    0.384
   5.52    5.52    0.      0.      0.      0.      0.    ]]; [1252.324]
52; [[ 0.5513 11.32    0.      0.551   0.      0.     11.74   11.71    0.551
   5.9     5.9     0.      0.      0.      0.      0.    ]]; [1277.1473]
53; [[ 0.251 12.     0.     0.251  0.     0.    11.6   11.59   0.251  4.75
   4.75   0.     0.     0.     0.     0.   ]]; [1189.1024]
54; [[0.2023 9.92   0.     0.2023 0.     0.     9.39   9.35   0.2023 3.465
  3.465  0.     0.     0.     0.     0.    ]]; [785.0665]
55; [[ 0.3188 11.42    0.      0.3188  0.      0.     11.72   11.695   0.3186
   4.562   4.562   0.      0.      0.      0.      0.    ]]; [1188.8739]
56; [[0.2023 9.59   0.     0.2023 0.     0.     9.414  9.41   0.2023 4.242
  4.242  0.     0.     0.     0.     0.    ]]; [814.30145]
57; [[ 0.2312 10.414   0.      0.2311  0.      0.      9.47    9.46    0.2311
   4.508   4.508   0.      0.      0.      0.      0.    ]]; [849.8709]
