timeslot;flow_id;packet_count;byte_count;duration_sec;idle_timeout_s;hard_timeout_s;priority
17;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;112294;7411404;13;5;0;1
17;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;112294;7411404;13;5;0;1
17;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;467307;26513193814;13;5;0;1
18;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-4;181575;11983958;19;5;0;1
18;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;769718;43780363564;19;5;0;1
18;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-4;181575;11983958;19;5;0;1
18;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;769717;43780363490;19;5;0;1
18;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;181574;11983884;19;5;0;1
18;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;181574;11983884;19;5;0;1
18;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;769718;43780363564;19;5;0;1
19;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-4;253279;16716422;25;5;0;1
19;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1082790;61653762428;25;5;0;1
19;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-4;253279;16716422;25;5;0;1
19;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1082789;61653762354;25;5;0;1
19;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;253278;16716348;25;5;0;1
19;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;253278;16716348;25;5;0;1
19;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1082790;61653762428;25;5;0;1
20;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-4;324859;21440702;31;5;0;1
20;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1395491;79506686494;31;5;0;1
20;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-4;324859;21440702;31;5;0;1
20;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1395490;79506686420;31;5;0;1
20;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;324858;21440628;31;5;0;1
20;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;324858;21440628;31;5;0;1
20;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1395491;79506686494;31;5;0;1
21;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;28577;1631684666;1;5;0;1
21;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-4;380750;25129508;37;5;0;1
21;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1639379;93430283398;37;5;0;1
21;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;28577;1631684666;1;5;0;1
21;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;6441;425114;1;5;0;1
21;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-4;380750;25129508;37;5;0;1
21;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;6440;425040;1;5;0;1
21;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;28576;1631684592;1;5;0;1
21;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1639378;93430283324;37;5;0;1
21;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;380749;25129434;37;5;0;1
21;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;6440;425040;1;5;0;1
21;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;28577;1631684666;1;5;0;1
21;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;380749;25129434;37;5;0;1
21;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1639379;93430283398;37;5;0;1
22;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;335286;19141237804;7;5;0;1
22;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;335286;19141237804;7;5;0;1
22;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;76741;5064914;7;5;0;1
22;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;76740;5064840;7;5;0;1
22;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;335285;19141237730;7;5;0;1
22;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;76740;5064840;7;5;0;1
22;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;335286;19141237804;7;5;0;1
23;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;655145;37402066018;13;5;0;1
23;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;655145;37402066018;13;5;0;1
23;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;150071;9904694;13;5;0;1
23;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;150070;9904620;13;5;0;1
23;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;655144;37402065944;13;5;0;1
23;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;150070;9904620;13;5;0;1
23;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;655145;37402066018;13;5;0;1
24;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;958049;54696429802;19;5;0;1
24;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;958049;54696429802;19;5;0;1
24;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;219505;14487338;19;5;0;1
24;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;219504;14487264;19;5;0;1
24;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;958048;54696429728;19;5;0;1
24;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;219504;14487264;19;5;0;1
24;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;958049;54696429802;19;5;0;1
25;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1325347;75665718702;25;5;0;1
25;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1325347;75665718702;25;5;0;1
