snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
258,1037.258524,0.0,1037.2559041,6e-06,0.0,0.4318988
259,1037.258524,0.0,1037.2559041,6e-06,0.0,0.4318988
260,1037.258524,0.0,1037.2559041,6e-06,0.0,0.4318988
261,1037.258524,0.0,1037.2559041,6e-06,0.0,0.4318988
262,1037.258524,0.0,1037.2559041,6e-06,0.0,0.4318988
263,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
264,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
265,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
266,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
267,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
268,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
269,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
270,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
271,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
272,1509.427008,0.0,1509.426153,0.0,0.0,0.4086746
273,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
274,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
275,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
276,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
277,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
278,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
279,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
280,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
281,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
282,1336.0926229,0.0,1336.0927319,6e-06,0.0,0.3542222
283,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
284,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
285,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
286,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
287,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
288,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
289,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
290,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
291,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
292,1360.68657,0.0,1360.6859665,6e-06,0.0,0.3607462
293,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
294,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
295,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
296,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
297,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
298,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
299,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
300,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
301,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
302,1316.726349,0.0,1316.7245147,0.0,0.0,0.34904
303,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
304,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
305,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
306,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
307,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
308,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
309,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
310,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
311,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
312,1289.5541289,0.0,1289.5511816,9.4e-06,0.0,0.3418858
313,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
314,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
315,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
316,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
317,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
318,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
319,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
320,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
321,1298.3276282,0.0,1298.3308032,6e-06,0.0,0.3442618
322,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
323,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
324,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
325,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
326,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
327,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
328,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
329,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
330,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
331,1057.0984818,0.0,1057.0966118,0.0,0.0,0.2789489
332,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
333,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
334,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
335,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
336,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
337,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
338,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
339,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
340,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
341,1324.6924267,0.0,1324.9559987,6e-06,0.0,0.3512713
342,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
343,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
344,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
345,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
346,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
347,1351.0295507,0.0,1350.7630467,6e-06,0.0,0.3580488
