Step; State; Reward
62; [[11.78125, 13.90625, 14.5078125, 11.859375, 0.0001430511474609375, 0.0001430511474609375, 11.78125, 23.421875, 12.8203125, 0.0001430511474609375, 11.7734375, 0.0001430511474609375, 0.0001430511474609375, 11.78125, 0.0001430511474609375, 0.0001430511474609375]]; [5956.9346]
63; [[11.78125, 13.90625, 14.5078125, 11.859375, 0.0001430511474609375, 0.0001430511474609375, 11.78125, 23.421875, 12.8203125, 0.0001430511474609375, 11.7734375, 0.0001430511474609375, 0.0001430511474609375, 11.78125, 0.0001430511474609375, 0.0001430511474609375]]; [0.]
64; [[8.828125, 3.79296875, 6.14453125, 8.671875, 0.0, 0.0, 5.8359375, 13.609375, 8.4921875, 0.0, 7.6484375, 0.0, 0.0, 7.5703125, 0.0, 0.0]]; [2016.0436]
65; [[8.828125, 3.79296875, 6.14453125, 8.671875, 0.0, 0.0, 5.8359375, 13.609375, 8.4921875, 0.0, 7.6484375, 0.0, 0.0, 7.5703125, 0.0, 0.0]]; [0.]
66; [[9.4453125, 1.302734375, 9.875, 9.5078125, 0.00011444091796875, 0.00011444091796875, 1.314453125, 10.625, 9.8984375, 0.00011444091796875, 9.3125, 0.00011444091796875, 0.00011444091796875, 9.3359375, 0.00011444091796875, 0.00011444091796875]]; [1575.1915]
67; [[9.515625, 6.389617919921875e-05, 12.078125, 9.515625, 0.0, 0.0, 6.389617919921875e-05, 9.5, 9.796875, 0.0, 9.5, 0.0, 0.0, 9.5078125, 0.0, 0.0]]; [1403.989]
68; [[9.5078125, 0.00011444091796875, 10.4140625, 9.5078125, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 9.4921875, 10.078125, 0.00011444091796875, 9.4921875, 0.00011444091796875, 0.00011444091796875, 9.5078125, 0.00011444091796875, 0.00011444091796875]]; [1376.6244]
69; [[9.4609375, 0.0, 6.1015625, 9.3828125, 0.0, 0.0, 0.0, 7.9921875, 8.484375, 0.0, 7.9921875, 0.0, 0.0, 7.93359375, 0.0, 0.0]]; [988.39355]
70; [[11.90625, 0.0001430511474609375, 12.1484375, 11.90625, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 11.796875, 12.53125, 0.0001430511474609375, 11.796875, 0.0001430511474609375, 0.0001430511474609375, 11.8125, 0.0001430511474609375, 0.0001430511474609375]]; [2086.4497]
71; [[11.8984375, 0.0, 14.671875, 11.90625, 0.0, 0.0, 0.0, 11.859375, 12.3125, 0.0, 11.859375, 0.0, 0.0, 11.875, 0.0, 0.0]]; [2156.4495]
