Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
  1.4305e-04 1.1898e+01 1.4305e-04 1.4305e-04]]; [0.]
51; [[7.58  5.06  4.938 7.45  0.    0.    3.049 9.24  6.656 0.    6.184 0.
  0.    6.152 0.    0.   ]]; [2012.3336]
52; [[1.1383e+01 1.5244e+00 1.1031e+01 1.1391e+01 1.4305e-04 1.4305e-04
  3.8984e+00 1.4898e+01 1.1914e+01 1.4305e-04 1.1000e+01 1.4305e-04
  1.4305e-04 1.1000e+01 1.4305e-04 1.4305e-04]]; [4812.1943]
53; [[ 9.49   4.914  9.3    9.53   0.     0.     4.875 14.375 10.016  0.
   9.51   0.     0.     9.51   0.     0.   ]]; [4058.3232]
54; [[ 9.49   4.914  9.3    9.53   0.     0.     4.875 14.375 10.016  0.
   9.51   0.     0.     9.51   0.     0.   ]]; [0.]
55; [[ 9.51   9.945 10.25   9.54   0.     0.     9.18  18.48   9.78   0.
   9.305  0.     0.     9.36   0.     0.   ]]; [5533.617]
56; [[ 9.51   9.945 10.25   9.54   0.     0.     9.18  18.48   9.78   0.
   9.305  0.     0.     9.36   0.     0.   ]]; [0.]
57; [[ 9.51   9.945 10.25   9.54   0.     0.     9.18  18.48   9.78   0.
   9.305  0.     0.     9.36   0.     0.   ]]; [0.]
58; [[ 9.51   9.945 10.25   9.54   0.     0.     9.18  18.48   9.78   0.
   9.305  0.     0.     9.36   0.     0.   ]]; [0.]
59; [[ 9.52 12.87 11.86  9.52  0.    0.    9.33 18.84 10.08  0.    9.52  0.
   0.    9.53  0.    0.  ]]; [5935.3574]
60; [[ 9.52 12.87 11.86  9.52  0.    0.    9.33 18.84 10.08  0.    9.52  0.
   0.    9.53  0.    0.  ]]; [0.]
61; [[ 9.52   5.14   8.484  9.53   0.     0.     9.016 18.53  10.414  0.
   9.52   0.     0.     9.54   0.     0.   ]]; [5230.1255]
62; [[ 9.52   5.14   8.484  9.53   0.     0.     9.016 18.53  10.414  0.
   9.52   0.     0.     9.54   0.     0.   ]]; [0.]
63; [[ 9.52   5.14   8.484  9.53   0.     0.     9.016 18.53  10.414  0.
   9.52   0.     0.     9.54   0.     0.   ]]; [0.]
64; [[11.88    0.0722 11.875  11.9     0.      0.      0.0722 11.97   12.16
   0.     11.9     0.      0.     11.9     0.      0.    ]]; [4200.972]
65; [[9.53   0.0508 9.29   9.53   0.     0.     0.0508 9.586  9.74   0.
  9.53   0.     0.     9.54   0.     0.    ]]; [2724.5027]
66; [[ 9.53   0.    10.37   9.53   0.     0.     0.     9.53   9.734  0.
   9.53   0.     0.     9.53   0.     0.   ]]; [2754.404]
67; [[9.53 0.   9.37 9.53 0.   0.   0.   9.52 9.98 0.   9.52 0.   0.   9.54
  0.   0.  ]]; [2725.6067]
68; [[9.5312e+00 1.1444e-04 9.3594e+00 9.5312e+00 1.1444e-04 1.1444e-04
  1.1444e-04 8.4297e+00 8.9141e+00 1.1444e-04 8.4297e+00 1.1444e-04
  1.1444e-04 8.3281e+00 1.1444e-04 1.1444e-04]]; [2406.5647]
69; [[9.54  0.    9.35  9.54  0.    0.    0.    9.516 9.72  0.    9.516 0.
  0.    9.54  0.    0.   ]]; [2712.7734]
70; [[9.54  0.    9.35  9.54  0.    0.    0.    9.516 9.72  0.    9.516 0.
  0.    9.54  0.    0.   ]]; [0.]
71; [[9.54  0.    9.35  9.54  0.    0.    0.    9.516 9.72  0.    9.516 0.
  0.    9.54  0.    0.   ]]; [0.]
72; [[9.5234e+00 1.1444e-04 9.2266e+00 9.5234e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5156e+00 9.7266e+00 1.1444e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5234e+00 1.1444e-04 1.1444e-04]]; [2705.3943]
73; [[9.5234e+00 1.1444e-04 9.2266e+00 9.5234e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5156e+00 9.7266e+00 1.1444e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5234e+00 1.1444e-04 1.1444e-04]]; [0.]
74; [[9.5234e+00 1.1444e-04 9.2266e+00 9.5234e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5156e+00 9.7266e+00 1.1444e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5234e+00 1.1444e-04 1.1444e-04]]; [0.]
75; [[9.5234e+00 1.1444e-04 9.2266e+00 9.5234e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5156e+00 9.7266e+00 1.1444e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5234e+00 1.1444e-04 1.1444e-04]]; [0.]
76; [[ 9.53   0.    10.69   9.53   0.     0.     0.     9.52   9.766  0.
   9.52   0.     0.     9.53   0.     0.   ]]; [2766.7769]
77; [[9.5312e+00 1.1444e-04 8.9922e+00 9.5312e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5312e+00 1.0125e+01 1.1444e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [2717.4424]
78; [[9.531e+00 5.434e+00 6.984e+00 9.531e+00 0.000e+00 0.000e+00 2.195e+00
  1.047e+01 8.727e+00 4.620e-03 8.273e+00 0.000e+00 0.000e+00 8.250e+00
  0.000e+00 0.000e+00]]; [2914.3364]
79; [[9.531e+00 5.434e+00 6.984e+00 9.531e+00 0.000e+00 0.000e+00 2.195e+00
  1.047e+01 8.727e+00 4.620e-03 8.273e+00 0.000e+00 0.000e+00 8.250e+00
  0.000e+00 0.000e+00]]; [0.]
80; [[2.0544e-01 1.0055e+01 2.4242e-03 2.0532e-01 1.1444e-04 1.1444e-04
  9.3438e+00 9.3438e+00 2.0532e-01 1.1444e-04 2.5673e-03 1.1444e-04
  1.1444e-04 2.4242e-03 1.1444e-04 1.1444e-04]]; [673.3909]
81; [[ 0.2544 11.945   0.      0.2544  0.      0.     11.664  11.664   0.2544
   0.      0.      0.      0.      0.      0.      0.    ]]; [995.69977]
82; [[2.537e-01 1.234e+01 1.431e-04 2.537e-01 1.431e-04 1.431e-04 1.166e+01
  1.165e+01 2.537e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1003.0393]
83; [[2.537e-01 1.234e+01 1.431e-04 2.537e-01 1.431e-04 1.431e-04 1.166e+01
  1.165e+01 2.537e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
84; [[ 0.29  12.12   0.     0.29   0.     0.    11.664 11.664  0.29   0.
   0.     0.     0.     0.     0.     0.   ]]; [1003.0564]
85; [[ 0.29  12.12   0.     0.29   0.     0.    11.664 11.664  0.29   0.
   0.     0.     0.     0.     0.     0.   ]]; [0.]
86; [[ 0.29  12.12   0.     0.29   0.     0.    11.664 11.664  0.29   0.
   0.     0.     0.     0.     0.     0.   ]]; [0.]
87; [[1.638e-01 1.659e+01 1.431e-04 1.639e-01 1.431e-04 1.431e-04 1.154e+01
  1.154e+01 1.639e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1080.3696]
88; [[1.638e-01 1.659e+01 1.431e-04 1.639e-01 1.431e-04 1.431e-04 1.154e+01
  1.154e+01 1.639e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
89; [[ 0.554  11.04    0.      0.5537  0.      0.     11.85   11.84    0.554
   0.      0.      0.      0.      0.      0.      0.    ]]; [1022.8741]
90; [[0.4177 5.684  0.     0.418  0.     0.     6.723  6.73   0.4177 0.
  0.     0.     0.     0.     0.     0.    ]]; [366.46338]
91; [[0.2067 9.76   0.     0.2067 0.     0.     9.52   9.5    0.2067 0.
  0.     0.     0.     0.     0.     0.    ]]; [684.75256]
92; [[0.2067 9.76   0.     0.2067 0.     0.     9.52   9.5    0.2067 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
93; [[ 4.895  4.188  5.812  4.9    0.     0.     7.88  12.586  5.33   0.
   4.67   0.     0.     4.68   0.     0.   ]]; [2043.302]
94; [[ 4.895  4.188  5.812  4.9    0.     0.     7.88  12.586  5.33   0.
   4.67   0.     0.     4.68   0.     0.   ]]; [0.]
95; [[11.914  0.    11.98  11.914  0.     0.     0.    11.914 12.17   0.
  11.914  0.     0.    11.89   0.     0.   ]]; [4202.4185]
96; [[ 9.516  0.598  9.55   9.52   0.     0.     0.598 10.11   9.75   0.
   9.51   0.     0.     9.52   0.     0.   ]]; [2825.5327]
97; [[ 9.516  0.598  9.55   9.52   0.     0.     0.598 10.11   9.75   0.
   9.51   0.     0.     9.52   0.     0.   ]]; [0.]
98; [[9.4766e+00 5.7080e-01 1.0523e+01 9.5234e+00 2.4033e-04 2.4033e-04
  5.7080e-01 1.0086e+01 9.7500e+00 2.4033e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5156e+00 1.1444e-04 1.1444e-04]]; [2851.015]
99; [[9.4766e+00 5.7080e-01 1.0523e+01 9.5234e+00 2.4033e-04 2.4033e-04
  5.7080e-01 1.0086e+01 9.7500e+00 2.4033e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5156e+00 1.1444e-04 1.1444e-04]]; [0.]
100; [[9.4766e+00 5.7080e-01 1.0523e+01 9.5234e+00 2.4033e-04 2.4033e-04
  5.7080e-01 1.0086e+01 9.7500e+00 2.4033e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5156e+00 1.1444e-04 1.1444e-04]]; [0.]
101; [[11.9     0.3494  9.59   11.91    0.      0.      0.3494 12.234  12.65
   0.     11.89    0.      0.     11.91    0.      0.    ]]; [4179.7554]
102; [[5.8086e+00 5.2734e+00 8.9375e+00 5.7383e+00 1.1444e-04 1.1444e-04
  5.2734e+00 9.5547e+00 4.6953e+00 1.1444e-04 4.2852e+00 1.1444e-04
  1.1444e-04 4.2578e+00 1.1444e-04 1.1444e-04]]; [1762.0236]
103; [[ 9.46  12.66   8.875  9.52   0.     0.     9.32  18.84  10.33   0.
   9.516  0.     0.     9.516  0.     0.   ]]; [5748.2593]
104; [[ 9.46  12.66   8.875  9.52   0.     0.     9.32  18.84  10.33   0.
   9.516  0.     0.     9.516  0.     0.   ]]; [0.]
105; [[ 9.46  12.66   8.875  9.52   0.     0.     9.32  18.84  10.33   0.
   9.516  0.     0.     9.516  0.     0.   ]]; [0.]
106; [[9.906e+00 8.945e+00 4.957e+00 9.828e+00 1.431e-04 1.431e-04 1.148e+01
  1.962e+01 9.109e+00 1.431e-04 8.141e+00 1.431e-04 1.431e-04 8.117e+00
  1.431e-04 1.431e-04]]; [5527.451]
107; [[11.914  4.47  12.055 11.914  0.     0.     6.504 18.19  12.375  0.
  11.695  0.     0.    11.7    0.     0.   ]]; [6281.869]
108; [[11.914  4.47  12.055 11.914  0.     0.     6.504 18.19  12.375  0.
  11.695  0.     0.    11.7    0.     0.   ]]; [0.]
109; [[11.914  4.47  12.055 11.914  0.     0.     6.504 18.19  12.375  0.
  11.695  0.     0.    11.7    0.     0.   ]]; [0.]
110; [[11.914  4.47  12.055 11.914  0.     0.     6.504 18.19  12.375  0.
  11.695  0.     0.    11.7    0.     0.   ]]; [0.]
111; [[11.914  4.47  12.055 11.914  0.     0.     6.504 18.19  12.375  0.
  11.695  0.     0.    11.7    0.     0.   ]]; [0.]
112; [[9.5312e+00 9.9922e+00 1.1398e+01 9.5312e+00 1.1444e-04 1.1444e-04
  6.8828e+00 1.6375e+01 9.9062e+00 1.1444e-04 9.4922e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [4979.2007]
113; [[9.5312e+00 9.9922e+00 1.1398e+01 9.5312e+00 1.1444e-04 1.1444e-04
  6.8828e+00 1.6375e+01 9.9062e+00 1.1444e-04 9.4922e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
114; [[ 9.54  7.02 15.69  9.54  0.    0.    9.33 18.86  9.94  0.    9.53  0.
   0.    9.53  0.    0.  ]]; [5820.8096]
115; [[ 9.54  7.02 15.69  9.54  0.    0.    9.33 18.86  9.94  0.    9.53  0.
   0.    9.53  0.    0.  ]]; [0.]
116; [[9.5312e+00 1.1444e-04 1.0695e+01 9.5312e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5312e+00 1.0102e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [2780.3535]
117; [[9.5312e+00 1.1444e-04 1.0695e+01 9.5312e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5312e+00 1.0102e+01 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
118; [[9.5312e+00 1.1444e-04 1.0695e+01 9.5312e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5312e+00 1.0102e+01 1.1444e-04 9.5234e+00 1.1444e-04
