agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
A_LA,8,46112,50M,50.1,1023.0,387.0,1.09,1
A_LA,8,46122,50M,50.7,1875.0,294.0,1.45,3
A_LA,8,46122,50M,50.1,829.0,381.0,1.1,1
A_LA,8,46112,50M,50.1,1640.0,107.0,3.93,3
A_LA,8,46112,50M,51.1,860.0,351.96,1.22,2
A_LA,8,46122,50M,50.8,935.0,309.0,1.38,0
A_LA,8,46122,50M,50.1,1693.0,343.0,1.22,4
A_LA,8,46112,50M,50.9,1964.0,259.0,1.65,4
A_LA,8,46114,50M,50.2,1840.0,274.0,1.54,4
A_LA,8,46124,50M,50.0,1707.0,341.0,1.23,4
A_LA,8,46124,50M,50.7,794.0,398.0,1.07,1
A_LA,8,46114,50M,50.1,3646.0,285.0,1.48,3
A_LA,8,46114,50M,50.0,747.0,346.0,1.21,2
A_LA,8,46124,50M,50.4,466.0,247.0,1.71,0
A_LA,8,46124,50M,50.1,549.0,318.0,1.32,2
A_LA,8,46114,50M,50.0,880.0,316.88,1.32,0
A_LA,8,46114,50M,50.3,1797.0,399.99,1.06,1
A_LA,8,46124,50M,50.1,3160.0,241.83,1.74,3
A_LA,8,46118,50M,50.4,516.0,342.0,1.24,2
A_LA,8,46118,50M,50.5,870.0,226.0,1.87,3
A_LA,8,46118,50M,50.1,587.0,272.0,1.55,1
A_LA,8,46116,50M,50.2,2370.0,280.0,1.5,4
A_LA,8,46118,50M,51.0,1391.0,306.0,1.4,0
A_LA,8,46118,50M,50.9,1811.0,350.88,1.22,4
A_LA,8,46116,50M,51.0,1189.0,306.0,1.4,0
A_LA,8,46116,50M,50.1,961.0,379.0,1.11,1
A_LA,8,46116,50M,50.5,1856.0,292.0,1.45,3
A_LA,8,46116,50M,50.3,533.0,333.0,1.27,2
A_LA,8,46110,50M,50.8,824.0,69.0,6.17,3
A_LA,8,46120,50M,50.0,856.0,395.0,1.06,1
A_LA,8,46120,50M,50.2,539.0,258.0,1.63,0
A_LA,8,46110,50M,50.1,772.0,199.0,2.11,2
A_LA,8,46110,50M,50.1,1438.0,146.0,2.88,0
A_LA,8,46120,50M,50.3,708.0,342.01,1.23,2
A_LA,8,46120,50M,50.3,3522.0,261.0,1.62,3
A_LA,8,46110,50M,50.0,701.0,229.0,1.83,1
A_LA,8,46110,50M,51.1,3014.0,151.0,2.84,4
A_LA,8,46120,50M,50.3,1847.0,324.0,1.3,4
A_LA,8,46110,100M,101.0,3454.0,270.0,3.14,3
A_LA,8,46114,100M,100.0,3638.0,580.0,1.45,4
A_LA,8,46112,100M,100.0,2146.0,412.0,2.04,0
A_LA,8,46112,100M,100.0,4581.0,608.0,1.38,1
A_LA,8,46110,100M,101.0,7896.0,706.0,1.2,2
A_LA,8,46110,100M,100.0,4399.0,469.0,1.8,0
A_LA,8,46116,100M,101.0,4034.0,682.0,1.24,4
A_LA,8,46112,100M,101.0,5416.0,744.88,1.14,3
A_LA,8,46112,100M,101.0,8092.0,302.0,2.8,2
A_LA,8,46110,100M,101.0,3068.0,219.0,3.85,1
A_LA,8,46114,100M,100.0,9994.0,662.0,1.27,2
A_LA,8,46116,100M,101.0,5490.0,585.0,1.45,1
A_LA,8,46116,100M,101.0,2737.0,655.0,1.3,0
A_LA,8,46114,100M,100.0,4335.0,632.0,1.33,3
A_LA,8,46110,100M,100.0,3022.0,336.0,2.5,4
A_LA,8,46114,100M,100.0,4318.0,566.0,1.48,1
A_LA,8,46116,100M,101.0,4446.0,718.63,1.18,2
A_LA,8,46112,100M,100.0,3405.0,313.0,2.68,4
A_LA,8,46116,100M,100.0,5541.0,739.0,1.14,3
A_LA,8,46114,100M,100.0,6586.0,302.0,2.78,0
A_LA,8,46118,100M,101.0,4797.0,452.0,1.87,1
A_LA,8,46118,100M,101.0,6013.0,635.0,1.33,0
A_LA,8,46118,100M,101.0,3001.0,709.0,1.2,2
A_LA,8,46118,100M,100.0,4086.0,535.0,1.57,3
A_LA,8,46118,100M,101.0,3950.0,656.0,1.29,4
A_LA,8,46122,100M,100.0,4012.0,674.0,1.25,4
A_LA,8,46124,100M,101.0,2468.0,552.0,1.53,0
A_LA,8,46124,100M,100.0,4660.0,539.0,1.56,1
A_LA,8,46124,100M,100.0,3768.0,676.0,1.24,3
A_LA,8,46120,100M,100.0,3873.0,680.0,1.24,4
A_LA,8,46124,100M,100.0,4776.0,498.0,1.68,2
A_LA,8,46122,100M,100.0,4412.0,730.0,1.15,2
A_LA,8,46120,100M,101.0,14224.0,475.0,1.78,1
A_LA,8,46120,100M,101.0,5036.0,626.0,1.35,0
A_LA,8,46122,100M,100.0,4348.0,657.0,1.28,3
A_LA,8,46122,100M,101.0,7706.0,563.33,1.5,1
A_LA,8,46120,100M,100.0,2840.0,548.0,1.53,2
A_LA,8,46120,100M,100.0,4916.0,483.0,1.74,3
A_LA,8,46124,100M,101.0,2955.0,578.0,1.46,4
A_LA,8,46122,100M,101.0,3453.0,571.0,1.48,0
A_LA,8,46124,200M,200.0,25167.0,395.0,4.25,1
A_LA,8,46124,200M,201.0,14427.0,1192.0,1.41,0
A_LA,8,46122,200M,201.0,12235.0,1248.35,1.35,4
A_LA,8,46124,200M,200.0,13222.0,1128.0,1.49,2
A_LA,8,46124,200M,200.0,14670.0,1156.64,1.45,3
A_LA,8,46120,200M,200.0,32289.0,1079.0,1.56,4
A_LA,8,46122,200M,200.0,14366.0,1459.0,1.15,3
A_LA,8,46120,200M,200.0,11833.0,699.0,2.4,0
A_LA,8,46120,200M,201.0,21534.0,1069.0,1.58,1
A_LA,8,46122,200M,201.0,16060.0,793.0,2.12,2
A_LA,8,46122,200M,201.0,16357.0,874.0,1.93,0
A_LA,8,46120,200M,201.0,20684.0,1563.0,1.08,3
A_LA,8,46124,200M,201.0,12638.0,1191.0,1.41,4
A_LA,8,46120,200M,201.0,11097.0,1222.0,1.38,2
A_LA,8,46122,200M,201.0,22476.0,1093.0,1.54,1
A_LA,8,46118,200M,200.0,10778.0,1343.0,1.25,0
A_LA,8,46118,200M,201.0,23648.0,752.0,2.24,1
A_LA,8,46118,200M,201.0,18392.0,1297.0,1.3,3
A_LA,8,46118,200M,201.0,17187.0,937.0,1.8,2
A_LA,8,46118,200M,200.0,17724.0,1232.0,1.36,4
A_LA,8,46110,200M,201.0,11870.0,852.0,1.97,2
A_LA,8,46112,200M,200.0,18003.0,1143.0,1.47,1
A_LA,8,46112,200M,200.0,18521.0,1079.0,1.56,0
A_LA,8,46110,200M,201.0,21565.0,800.0,2.1,3
A_LA,8,46114,200M,200.0,8627.0,1117.0,1.5,4
A_LA,8,46110,200M,200.0,13531.0,898.77,1.87,1
A_LA,8,46112,200M,201.0,14458.0,889.0,1.9,2
A_LA,8,46116,200M,200.0,12735.0,951.65,1.76,4
A_LA,8,46112,200M,200.0,31683.0,752.0,2.23,3
A_LA,8,46110,200M,200.0,17588.0,1136.0,1.48,0
A_LA,8,46114,200M,201.0,18430.0,1131.0,1.49,3
A_LA,8,46110,200M,200.0,23563.0,467.0,3.6,4
A_LA,8,46116,200M,200.0,15058.0,1092.0,1.54,0
A_LA,8,46116,200M,201.0,15262.0,1318.0,1.28,1
A_LA,8,46114,200M,201.0,14895.0,1256.0,1.34,2
A_LA,8,46114,200M,201.0,16470.0,1288.0,1.31,0
A_LA,8,46112,200M,200.0,7254.0,1016.0,1.65,4
A_LA,8,46116,200M,201.0,21921.0,1418.0,1.19,3
A_LA,8,46116,200M,200.0,9753.0,1126.0,1.49,2
A_LA,8,46114,200M,200.0,12359.0,960.0,1.75,1
A_LA,8,46122,500M,501.0,32806.0,2595.0,1.62,2
A_LA,8,46120,500M,501.0,60433.0,3039.0,1.38,1
A_LA,8,46120,500M,500.0,24730.0,2516.14,1.67,0
A_LA,8,46122,500M,500.0,57904.0,2401.0,1.75,3
A_LA,8,46122,500M,501.0,74025.0,3493.0,1.2,1
A_LA,8,46120,500M,501.0,52754.0,2819.0,1.49,2
A_LA,8,46124,500M,501.0,64062.0,2811.7,1.49,4
A_LA,8,46120,500M,501.0,72411.0,3785.28,1.11,3
A_LA,8,46122,500M,500.0,19972.0,2355.16,1.78,0
A_LA,8,46122,500M,501.0,60485.0,3082.0,1.36,4
A_LA,8,46124,500M,501.0,64811.0,3730.0,1.13,0
A_LA,8,46124,500M,500.0,37393.0,3684.0,1.14,1
A_LA,8,46120,500M,500.0,58106.0,3595.0,1.17,4
A_LA,8,46124,500M,501.0,60069.0,2808.0,1.5,3
A_LA,8,46124,500M,501.0,69060.0,3004.0,1.4,2
A_LA,8,46114,500M,500.0,39596.0,3276.0,1.28,2
A_LA,8,46116,500M,501.0,55734.0,2449.0,1.72,1
A_LA,8,46116,500M,500.0,81758.0,3611.0,1.16,0
A_LA,8,46110,500M,500.0,68541.0,921.0,4.56,4
A_LA,8,46114,500M,500.0,66722.0,3684.94,1.14,3
A_LA,8,46114,500M,501.0,57541.0,3786.0,1.11,1
A_LA,8,46116,500M,500.0,38106.0,1704.71,2.46,2
A_LA,8,46116,500M,500.0,85280.0,4105.54,1.02,3
A_LA,8,46112,500M,500.0,65348.0,2800.0,1.5,4
A_LA,8,46114,500M,500.0,53950.0,3901.0,1.08,0
A_LA,8,46114,500M,500.0,45088.0,2376.43,1.77,4
A_LA,8,46110,500M,500.0,67767.0,1097.35,3.82,3
A_LA,8,46112,500M,500.0,56047.0,2513.0,1.67,0
A_LA,8,46112,500M,500.0,40902.0,3314.0,1.27,1
A_LA,8,46110,500M,500.0,75089.0,1825.12,2.3,2
A_LA,8,46110,500M,501.0,55681.0,3331.9,1.26,0
A_LA,8,46112,500M,500.0,50050.0,3062.93,1.37,3
A_LA,8,46116,500M,500.0,55781.0,3421.0,1.23,4
A_LA,8,46112,500M,500.0,37402.0,2660.0,1.58,2
