snapshot_count, flow_id, flow["hard_timeout_s"], flow["byte_count"], flow["idle_timeout_s"], flow["packet_count"], flow["duration_sec"], timestamp
5,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,5834929300,5,120022,8,2019-09-15 17:42:01.846044
5,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,7766268,5,117376,14,2019-09-15 17:42:01.846046
5,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,46530,5,705,1,2019-09-15 17:42:01.846048
5,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,3021414,5,45779,11,2019-09-15 17:42:01.846051
5,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,189978930,5,3337,1,2019-09-15 17:42:01.846053
5,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,6216035200,5,137668,14,2019-09-15 17:42:01.846055
5,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,4418370,5,66945,5,2019-09-15 17:42:01.846057
5,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,7629306718,5,148927,11,2019-09-15 17:42:01.846059
6,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,5012328628,5,246598,11,2019-09-15 17:42:07.883239
6,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,644470414,5,14739,1,2019-09-15 17:42:07.883251
6,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,6138396,5,93006,14,2019-09-15 17:42:07.883256
6,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,9296204,5,140626,4,2019-09-15 17:42:07.883261
6,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,2002441456,5,164996,4,2019-09-15 17:42:07.883265
6,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,6620599172,5,183030,14,2019-09-15 17:42:07.883270
6,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,7840544,5,118796,7,2019-09-15 17:42:07.883275
6,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,14425500,5,218370,11,2019-09-15 17:42:07.883280
6,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,933916,5,14150,1,2019-09-15 17:42:07.883284
6,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,2962974918,5,159907,7,2019-09-15 17:42:07.883291
6,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,933842,5,14149,1,2019-09-15 17:42:07.883296
6,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,644470340,5,14738,1,2019-09-15 17:42:07.883300
6,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,5012328554,5,246597,11,2019-09-15 17:42:07.883304
6,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,14425500,5,218370,11,2019-09-15 17:42:07.883309
6,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,5012328628,5,246598,11,2019-09-15 17:42:07.883314
6,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,644470414,5,14739,1,2019-09-15 17:42:07.883318
6,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,2962974844,5,159906,7,2019-09-15 17:42:07.883322
6,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,7840470,5,118795,7,2019-09-15 17:42:07.883327
6,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,5012328628,5,246598,11,2019-09-15 17:42:07.883332
6,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,933768,5,14148,1,2019-09-15 17:42:07.883336
6,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,6138396,5,93006,14,2019-09-15 17:42:07.883340
6,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,6620599246,5,183031,14,2019-09-15 17:42:07.883344
6,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,644470414,5,14739,1,2019-09-15 17:42:07.883349
6,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,7840470,5,118795,7,2019-09-15 17:42:07.883353
6,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,2002441530,5,164997,4,2019-09-15 17:42:07.883357
6,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,9296130,5,140625,4,2019-09-15 17:42:07.883360
6,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,2962974918,5,159907,7,2019-09-15 17:42:07.883364
6,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,14425426,5,218369,11,2019-09-15 17:42:07.883368
7,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,3640103190,5,83199,7,2019-09-15 17:42:13.940695
7,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,10192550,5,154207,10,2019-09-15 17:42:13.940702
7,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,5563541408,5,227352,10,2019-09-15 17:42:13.940704
7,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,8767910,5,132847,13,2019-09-15 17:42:13.940708
7,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,5316118,5,80547,7,2019-09-15 17:42:13.940710
7,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,6464444904,5,221236,13,2019-09-15 17:42:13.940713
7,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,5316044,5,80546,7,2019-09-15 17:42:13.940715
7,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,3640103116,5,83198,7,2019-09-15 17:42:13.940718
7,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,3640103190,5,83199,7,2019-09-15 17:42:13.940721
